elapsed;label;success;Latency;IdleTime;Connect;time;mem;cpu
52745;blocking;true;52745;0;2;52086043800;466;0,45
52733;blocking;true;52733;0;0;52117860100;425;0,45
52737;blocking;true;52737;0;0;52151639600;383;0,45
52832;blocking;true;52832;0;1;52226645200;341;0,45
52874;blocking;true;52874;0;0;52307388200;299;0,45
52920;blocking;true;52920;0;0;52333070400;261;0,45
52984;blocking;true;52984;0;0;52376941300;219;0,45
52964;blocking;true;52964;0;1;52414428900;177;0,45
53427;blocking;true;53427;0;0;51982095000;299;-0,79
53434;blocking;true;53434;0;0;51989889200;257;-0,79
53429;blocking;true;53429;0;0;51986175500;215;-0,79
53507;blocking;true;53507;0;1;52070346900;173;-0,79
53572;blocking;true;53572;0;0;52131360500;131;-0,46
53590;blocking;true;53590;0;1;52150412000;89;-0,46
53625;blocking;true;53625;0;1;52139190200;47;-0,39
53643;blocking;true;53643;0;1;52144603300;5;-0,39
54078;blocking;true;54078;0;1;52301142800;130;-0,39
54095;blocking;true;54095;0;1;52295269500;88;3,2
54086;blocking;true;54086;0;0;52288608900;46;3,2
54163;blocking;true;54163;0;0;52335798400;4;3,2
54221;blocking;true;54221;0;0;52381112400;-37;3,2
54273;blocking;true;54273;0;1;52471044000;-79;2,03
54287;blocking;true;54287;0;1;52444865000;-121;5,87
54304;blocking;true;54304;0;0;52444003200;-159;5,87
54758;blocking;true;54758;0;0;52599123500;-37;2,16
54761;blocking;true;54761;0;1;52599502400;1167;2,16
54757;blocking;true;54757;0;1;52573342000;1133;2,16
54842;blocking;true;54842;0;0;52628029100;1108;2,16
54897;blocking;true;54897;0;0;52665703100;1079;2,16
54920;blocking;true;54920;0;0;52671050600;1049;2,16
54957;blocking;true;54957;0;1;52710020700;1020;2,16
54974;blocking;true;54974;0;0;52734248900;991;2,16
55426;blocking;true;55426;0;0;52931082000;-66;-3,26
55447;blocking;true;55447;0;1;52887474000;-87;-3,26
55444;blocking;true;55444;0;1;52877280800;-117;-3,26
55528;blocking;true;55528;0;0;52917263100;-146;-2,67
55573;blocking;true;55573;0;0;52930836000;-175;-2,67
55663;blocking;true;55663;0;0;53013696800;-200;-2,67
55674;blocking;true;55674;0;0;53017687900;-230;-2,67
55703;blocking;true;55703;0;1;53038880800;-259;-2,67
56154;blocking;true;56154;0;1;53308201600;-150;-3,16
56150;blocking;true;56150;0;1;53292880800;-180;-3,16
56168;blocking;true;56168;0;0;53273971000;-209;0
56199;blocking;true;56199;0;1;53264570300;-234;0
56259;blocking;true;56259;0;1;53311854300;-264;0
56333;blocking;true;56333;0;1;53375791000;-293;0
56341;blocking;true;56341;0;1;53387777100;-318;0
56370;blocking;true;56370;0;1;53404266400;-347;0
56813;blocking;true;56813;0;0;53600817500;-242;1,66
56820;blocking;true;56820;0;1;53577699100;-271;1,66
56848;blocking;true;56848;0;0;53567352000;-296;1,66
56863;blocking;true;56863;0;0;53561143900;-326;1,66
56925;blocking;true;56925;0;1;53620228400;-355;-3,12
56989;blocking;true;56989;0;1;53664749300;-380;-3,12
57007;blocking;true;57007;0;0;53663307900;-410;-3,12
57029;blocking;true;57029;0;0;53662041700;-439;-3,12
57469;blocking;true;57469;0;1;53872876500;-334;-1,93
57478;blocking;true;57478;0;1;53870233200;-359;-1,93
57507;blocking;true;57507;0;1;53870892400;-389;-1,93
57513;blocking;true;57513;0;0;53860369300;-418;-1,93
57589;blocking;true;57589;0;0;53896900800;-443;-1,93
57648;blocking;true;57648;0;0;53945222900;-473;-1,93
57669;blocking;true;57669;0;0;53958130300;-502;0,42
57684;blocking;true;57684;0;0;53955114500;-527;0,42
58121;blocking;true;58121;0;1;54168407700;-423;0,41
58136;blocking;true;58136;0;0;54165890700;-452;0,41
58172;blocking;true;58172;0;1;54190399400;-477;0,41
58189;blocking;true;58189;0;1;54155881200;-498;0,41
58250;blocking;true;58250;0;0;54199687100;-519;0,41
58314;blocking;true;58314;0;0;54244922400;695;-0,46
58329;blocking;true;58329;0;1;54237722200;686;-0,46
58340;blocking;true;58340;0;0;54217935000;674;-3,61
58687;blocking;true;58687;0;1;54472229500;767;-3,61
58685;blocking;true;58685;0;1;54468934600;762;-3,61
58711;blocking;true;58711;0;0;54477699800;774;-3,61
62133;blocking;true;62133;0;1;54281241100;712;-0,19
62131;blocking;true;62131;0;0;54225509800;695;-0,19
62133;blocking;true;62133;0;0;54170092000;683;-0,19
62210;blocking;true;62210;0;1;54594307200;779;-3,17
62175;blocking;true;62175;0;0;54305901700;724;-0,19
62210;blocking;true;62210;0;1;54584536800;766;-3,17
62205;blocking;true;62205;0;0;54552570800;754;-3,17
62141;blocking;true;62141;0;1;54126167000;653;-0,19
62136;blocking;true;62136;0;1;54087856700;636;-0,19
62252;blocking;true;62252;0;0;54649431100;796;-3,17
62216;blocking;true;62216;0;0;54491280500;737;-3,17
62142;blocking;true;62142;0;0;54029579200;624;-0,19
62178;blocking;true;62178;0;0;54137020300;666;-0,19
62144;blocking;true;62144;0;1;53851406300;611;-0,19
62139;blocking;true;62139;0;1;53821942700;594;-0,19
62134;blocking;true;62134;0;1;53775160600;582;0,76
62131;blocking;true;62131;0;1;53720841800;569;0,76
62125;blocking;true;62125;0;0;53681886100;552;0,76
62123;blocking;true;62123;0;1;53666549300;540;0,76
62117;blocking;true;62117;0;0;53631773400;527;0,76
62103;blocking;true;62103;0;1;53412655400;498;0,76
62118;blocking;true;62118;0;0;53586709900;511;0,76
62103;blocking;true;62103;0;0;53382877400;481;0,76
62097;blocking;true;62097;0;0;53326788900;469;0,76
62094;blocking;true;62094;0;1;53299282600;456;0,76
62092;blocking;true;62092;0;0;53258613400;439;0,76
62088;blocking;true;62088;0;1;53239789600;427;-1,47
62083;blocking;true;62083;0;0;53204381000;414;-1,47
62078;blocking;true;62078;0;0;53159621700;397;-1,47
62072;blocking;true;62072;0;0;52994935500;385;-1,47
62069;blocking;true;62069;0;0;52963974200;372;-1,47
62063;blocking;true;62063;0;0;52914223800;355;-1,47
62058;blocking;true;62058;0;0;52866746100;343;-1,47
62055;blocking;true;62055;0;0;52834066700;330;-1,47
62051;blocking;true;62051;0;1;52802101000;313;-1,47
62044;blocking;true;62044;0;0;52760491900;301;-1,47
62042;blocking;true;62042;0;0;52717846200;284;-0,33
62038;blocking;true;62038;0;0;52554497200;271;-0,33
62033;blocking;true;62033;0;1;52521329500;255;-0,33
62028;blocking;true;62028;0;0;52479865700;242;-0,33
62025;blocking;true;62025;0;1;52434009100;225;-0,33
62020;blocking;true;62020;0;0;52392421800;213;-0,33
62015;blocking;true;62015;0;1;52366334400;200;-0,33
62011;blocking;true;62011;0;0;52321863100;188;-0,33
62007;blocking;true;62007;0;0;52272177900;175;-0,33
61999;blocking;true;61999;0;0;52115434000;154;0,02
61996;blocking;true;61996;0;1;52075189900;141;0,02
61992;blocking;true;61992;0;1;52030489800;129;0,02
61990;blocking;true;61989;0;1;51995943700;112;0,02
61987;blocking;true;61987;0;1;51960392700;100;0,02
61984;blocking;true;61984;0;1;51929373500;83;0,02
61979;blocking;true;61979;0;0;51883670800;70;0,02
61977;blocking;true;61977;0;1;51836833700;53;0,02
61971;blocking;true;61971;0;1;51660389900;41;0,02
61955;blocking;true;61955;0;0;51588388300;11;-0,01
61973;blocking;true;61973;0;1;51626695100;28;0,02
61960;blocking;true;61960;0;0;51547284800;-1;-0,01
61955;blocking;true;61955;0;0;51495305300;-18;-0,01
61951;blocking;true;61951;0;0;51471999900;-31;-0,01
61947;blocking;true;61947;0;0;51427256200;-43;-0,01
61943;blocking;true;61943;0;1;51387176900;-60;-0,01
61939;blocking;true;61939;0;1;51223366000;-72;-0,01
61934;blocking;true;61934;0;0;51186968100;-85;-0,01
61931;blocking;true;61931;0;1;51140828700;-102;-0,01
61926;blocking;true;61926;0;1;51104898700;-114;-0,01
61920;blocking;true;61920;0;0;51076634100;-131;-0,73
61918;blocking;true;61918;0;0;51033620400;-144;-0,73
61913;blocking;true;61913;0;0;50981539700;-156;-0,73
61909;blocking;true;61909;0;0;50932335000;-173;-0,73
61904;blocking;true;61904;0;1;50788996200;-186;-0,73
61900;blocking;true;61900;0;1;50755554700;-198;-0,73
61894;blocking;true;61894;0;0;50708040400;-215;-0,73
61889;blocking;true;61889;0;0;50663794700;-228;-0,73
61884;blocking;true;61884;0;0;50617621200;-240;-0,73
61879;blocking;true;61879;0;1;50583479200;-257;-0,73
61875;blocking;true;61875;0;0;50550104400;-270;-0,01
61872;blocking;true;61872;0;1;50504570200;-286;-0,01
61866;blocking;true;61866;0;1;50351211800;-299;-0,01
61863;blocking;true;61863;0;1;50322447600;905;-0,01
61858;blocking;true;61858;0;1;50265735700;888;-0,01
61864;blocking;true;61864;0;1;50223252800;872;-0,01
61884;blocking;true;61884;0;1;50179096800;855;2,6
61877;blocking;true;61877;0;1;50152307400;838;2,6
65331;blocking;true;65331;0;1;53587420400;838;1,01
65339;blocking;true;65339;0;1;53558529000;817;-0,26
65338;blocking;true;65338;0;1;53397803300;800;-0,26
65339;blocking;true;65339;0;0;53378806400;784;-0,26
65340;blocking;true;65340;0;1;53338692800;767;-0,26
65334;blocking;true;65334;0;0;53298191100;750;-0,26
65335;blocking;true;65335;0;0;53266528700;733;-0,26
65331;blocking;true;65331;0;0;53239360800;717;-0,26
65325;blocking;true;65325;0;1;53207242800;700;-0,26
65321;blocking;true;65321;0;1;53161437800;687;-0,26
65313;blocking;true;65313;0;0;53015800400;675;-0,69
65312;blocking;true;65312;0;0;52993272400;658;-0,69
65307;blocking;true;65307;0;0;52952881700;649;-0,69
65305;blocking;true;65305;0;0;52918175500;637;-0,69
