elapsed;label;success;Latency;IdleTime;Connect;time;mem;cpu;group
17694;blocking;true;17694;0;0;9712351000;-138;-4,36;1
18599;blocking;true;18599;0;0;9007219300;-593;-0,91;1
17531;blocking;true;17531;0;1;8214008400;-635;-0,91;1
17435;blocking;true;17435;0;1;8108107000;-673;3,37;1
18409;blocking;true;18409;0;0;9076815300;-715;3,37;1
18620;blocking;true;18620;0;1;9106381100;-756;3,37;1
18534;blocking;true;18534;0;1;9121996700;-798;3,37;1
18728;blocking;true;18728;0;1;9154445100;-840;3,37;1
18729;blocking;true;18729;0;0;9185519200;-882;3,37;1
18514;blocking;true;18514;0;1;9200747800;-924;3,37;1
18764;blocking;true;18764;0;1;9239078800;-962;3,37;1
18698;blocking;true;18698;0;1;9246718800;-1004;3,37;1
18721;blocking;true;18721;0;1;9278377900;-1046;3,37;1
18705;blocking;true;18705;0;0;9294959500;-1088;3,37;1
18706;blocking;true;18706;0;1;9309809900;-1130;3,37;1
18720;blocking;true;18720;0;0;9370902800;38;3,37;1
18740;blocking;true;18740;0;0;9370935600;42;3,37;1
18941;blocking;true;18941;0;1;9402212700;34;3,37;1
18966;blocking;true;18966;0;4;9417181300;25;3,37;1
18705;blocking;true;18705;0;0;9417278600;25;3,37;1
18952;blocking;true;18952;0;0;9449016000;21;3,37;1
18719;blocking;true;18719;0;0;9464314300;17;3,37;1
18800;blocking;true;18800;0;1;9495859800;12;3,37;1
18960;blocking;true;18960;0;1;9511914600;8;-0,08;1
18830;blocking;true;18830;0;1;9527557600;4;-0,08;1
18905;blocking;true;18905;0;1;9541975800;0;-0,08;1
18973;blocking;true;18973;0;0;9556970700;-4;-0,08;1
19055;blocking;true;19055;0;1;9572593000;-8;-0,08;1
18928;blocking;true;18928;0;1;9605513000;-13;-0,08;1
19093;blocking;true;19093;0;1;9622315100;-16;-0,08;1
19088;blocking;true;19088;0;1;9622324600;-12;-0,08;1
18936;blocking;true;18936;0;0;9636049300;-20;-0,08;1
18873;blocking;true;18873;0;1;9642288700;-24;-0,08;1
18884;blocking;true;18884;0;1;9822209500;-29;-4,22;1
18879;blocking;true;18879;0;1;9808376700;-37;-6,49;1
18864;blocking;true;18864;0;1;9793532500;-45;-6,49;1
18879;blocking;true;18879;0;0;9802105900;-41;-6,49;1
18844;blocking;true;18844;0;1;9744740900;-54;-6,49;1
18851;blocking;true;18851;0;1;9743431400;-58;-6,49;1
18816;blocking;true;18816;0;0;9721677300;-71;-6,49;1
18882;blocking;true;18882;0;1;9782291000;-46;-6,49;1
18846;blocking;true;18846;0;0;9738280200;-62;-6,49;1
18852;blocking;true;18852;0;1;9739031000;-58;-6,49;1
18839;blocking;true;18839;0;1;9722013900;-67;-6,49;1
18832;blocking;true;18832;0;1;9711726300;-75;-6,49;1
18817;blocking;true;18817;0;1;9736883500;-83;-6,49;1
18833;blocking;true;18833;0;0;9748826400;-79;-6,49;1
18818;blocking;true;18818;0;1;9741664100;-92;-6,49;1
18816;blocking;true;18816;0;1;9736150700;-96;-6,49;1
