elapsed;label;success;Latency;IdleTime;Connect;time;mem;cpu
8716;blocking;true;8673;0;45;3710631700;302;-0,52
8718;blocking;true;8675;0;46;3711747100;344;-0,52
8740;blocking;true;8740;0;47;3821072800;252;-0,52
8744;blocking;true;8744;0;47;3821439100;282;-0,52
8767;blocking;true;8767;0;46;3822513700;164;-0,52
8741;blocking;true;8741;0;7;3836546900;139;-0,52
8798;blocking;true;8797;0;46;3836597100;131;-0,52
8652;blocking;true;8652;0;1;3839584200;231;-0,52
8857;blocking;true;8857;0;47;3853494900;97;-0,52
8723;blocking;true;8723;0;1;3855213100;114;-0,52
8871;blocking;true;8871;0;44;3898075100;34;-0,52
8647;blocking;true;8647;0;1;3899065000;206;-0,52
8890;blocking;true;8890;0;47;3899991500;-63;-0,52
8936;blocking;true;8936;0;44;3914032800;-100;-0,52
8878;blocking;true;8878;0;1;3943617300;-176;-0,52
8726;blocking;true;8726;0;1;4019083100;-176;-0,52
8705;blocking;true;8705;0;2;3955415300;-180;-0,52
8644;blocking;true;8644;0;1;3935042200;-280;0,21
8736;blocking;true;8735;0;1;3982409300;-175;0,21
8646;blocking;true;8646;0;2;3885724200;-280;0,21
8440;blocking;true;8440;0;1;3637641400;847;0,21
8652;blocking;true;8652;0;1;3846904100;-293;0,21
8318;blocking;true;8318;0;1;3505439500;826;0,21
8394;blocking;true;8394;0;2;3563184400;847;0,21
8450;blocking;true;8450;0;2;3589946000;847;0,21
8652;blocking;true;8652;0;1;3816871800;-343;0,21
8321;blocking;true;8321;0;1;3485802400;763;-17,7
8580;blocking;true;8580;0;1;3716582600;-394;0,21
8643;blocking;true;8643;0;2;3780842300;-373;0,21
8168;blocking;true;8168;0;2;3296221500;692;-17,7
8346;blocking;true;8346;0;1;3466521600;646;-17,7
8166;blocking;true;8166;0;1;3281040100;629;-17,7
8286;blocking;true;8286;0;1;3379501700;637;-17,7
8390;blocking;true;8390;0;1;3447332300;629;-17,7
8196;blocking;true;8196;0;1;3259035300;613;-17,7
8105;blocking;true;8105;0;2;3176367100;596;-17,7
8092;blocking;true;8092;0;2;3130070500;588;-17,7
8210;blocking;true;8209;0;2;3225198200;604;-17,7
8112;blocking;true;8112;0;1;3100308800;579;-17,7
8033;blocking;true;8033;0;2;2963486800;566;-16,89
8156;blocking;true;8156;0;1;3064988600;575;-16,89
8118;blocking;true;8118;0;1;3030174900;558;-16,89
8022;blocking;true;8022;0;1;2944843800;549;-16,89
7991;blocking;true;7991;0;1;2895224800;541;-16,89
8005;blocking;true;8005;0;1;2861267000;541;-16,89
7957;blocking;true;7957;0;0;2794246800;524;-16,89
8030;blocking;true;8030;0;1;2843872700;532;-16,89
8010;blocking;true;8010;0;1;2791700500;524;-16,89
8024;blocking;true;8024;0;1;2754642600;516;-16,89
8046;blocking;true;8046;0;1;2748895600;516;-16,89
8107;blocking;true;8107;0;1;2790677400;520;-16,45
8222;blocking;true;8222;0;1;2849971500;533;2
8193;blocking;true;8193;0;1;2829872600;524;2
8283;blocking;true;8283;0;1;2811844700;524;2
8367;blocking;true;8367;0;2;2840359500;525;2
8578;blocking;true;8578;0;1;2928860400;537;1,32
8639;blocking;true;8639;0;1;2954387500;533;1,32
8728;blocking;true;8728;0;2;2982153600;541;1,32
8868;blocking;true;8868;0;1;3057509500;554;2,62
8956;blocking;true;8956;0;1;3116876900;562;2,62
9187;blocking;true;9187;0;1;3283402800;579;0,51
9242;blocking;true;9242;0;0;3296987800;578;0,51
9356;blocking;true;9356;0;2;3384808300;591;-2,79
9456;blocking;true;9456;0;1;3428888200;600;-2,79
9532;blocking;true;9532;0;0;3501465100;608;-0,79
9682;blocking;true;9682;0;1;3604417100;617;-0,79
9809;blocking;true;9809;0;1;3727885300;637;1,42
9844;blocking;true;9844;0;1;3740530100;638;1,42
9967;blocking;true;9967;0;1;3804734200;645;-0,51
10173;blocking;true;10173;0;1;3907873200;663;-0,51
10197;blocking;true;10197;0;2;3921167100;663;-0,51
10331;blocking;true;10331;0;1;3980628400;-565;3,38
10467;blocking;true;10467;0;1;4114953300;-552;3,38
10570;blocking;true;10570;0;1;4158163400;-556;3,38
10599;blocking;true;10598;0;1;4171622300;-560;3,38
10715;blocking;true;10715;0;2;4245291700;-561;-1,98
10811;blocking;true;10811;0;1;4302002100;-552;-0,11
10832;blocking;true;10832;0;1;4301886800;-556;-0,11
10906;blocking;true;10906;0;1;4344265800;-560;-0,11
10996;blocking;true;10996;0;1;4433488700;-556;0,27
11092;blocking;true;11092;0;1;4539704900;-552;0,27
11188;blocking;true;11188;0;1;4581567600;-552;0,08
11186;blocking;true;11186;0;1;4574195600;-557;0,08
11200;blocking;true;11200;0;1;4584490700;-556;0,08
11272;blocking;true;11272;0;1;4647805100;-556;0,79
11380;blocking;true;11380;0;1;4707522300;-556;0,79
11346;blocking;true;11346;0;1;4687349100;-564;0,79
11384;blocking;true;11384;0;1;4681679300;-561;0,79
11395;blocking;true;11395;0;1;4705084000;-564;1,09
11447;blocking;true;11447;0;1;4767425700;-544;1,2
11447;blocking;true;11447;0;1;4761321800;-539;1,2
11615;blocking;true;11615;0;1;4855062100;-501;1,2
11581;blocking;true;11581;0;1;4864013500;-510;1,2
11569;blocking;true;11569;0;1;4764300700;-514;1,2
11646;blocking;true;11646;0;1;4773754300;-506;1,2
11577;blocking;true;11577;0;1;4776832400;-519;1,2
11594;blocking;true;11594;0;1;4815837200;-510;4,93
11616;blocking;true;11616;0;1;4855819700;-481;4,2
11766;blocking;true;11766;0;1;4982490700;-434;4,2
11812;blocking;true;11812;0;1;5018923200;-422;4,2
11969;blocking;true;11969;0;1;5156219700;-401;39,76
12017;blocking;true;12017;0;1;5336466700;-384;39,76
12027;blocking;true;12027;0;0;5334268600;-388;39,76
12144;blocking;true;12144;0;1;5389826000;-393;39,76
12131;blocking;true;12131;0;1;5432143200;-396;39,76
12167;blocking;true;12167;0;1;5457018400;-401;-2,74
12130;blocking;true;12130;0;1;5441427500;-405;-2,74
12202;blocking;true;12202;0;1;5433133600;-405;-2,74
12230;blocking;true;12230;0;0;5426115600;-414;-2,74
12221;blocking;true;12221;0;1;5542020900;-418;-2,74
12243;blocking;true;12243;0;1;5594337400;-421;-2,74
12346;blocking;true;12346;0;1;5702400700;-430;-2,06
12381;blocking;true;12381;0;1;5698303900;-438;0,6
12450;blocking;true;12450;0;1;5716174900;-434;0,6
12475;blocking;true;12475;0;1;5753461600;-439;0,6
12567;blocking;true;12567;0;1;5807166900;-447;0,6
12568;blocking;true;12568;0;0;5818997100;-452;0,6
12559;blocking;true;12559;0;1;5846950800;-460;0,6
12551;blocking;true;12551;0;1;5875816200;-459;-0,21
12528;blocking;true;12528;0;0;5905058000;-468;-0,21
12605;blocking;true;12605;0;1;5931898700;-468;-1,47
12627;blocking;true;12627;0;1;5928871100;-476;-1,47
12673;blocking;true;12673;0;1;5973205800;-485;-1,47
12704;blocking;true;12704;0;1;5990913800;-493;-1,47
12687;blocking;true;12687;0;1;5982317300;-493;-1,47
12656;blocking;true;12656;0;1;5963205000;-502;-1,47
12721;blocking;true;12721;0;1;6053729700;-506;5,84
12763;blocking;true;12763;0;1;6068788800;-514;5,84
12773;blocking;true;12773;0;1;6065416000;-519;5,84
12819;blocking;true;12819;0;1;6088212900;-518;5,84
12840;blocking;true;12840;0;1;6098674700;-522;5,84
12870;blocking;true;12870;0;1;6095940400;-531;5,84
12874;blocking;true;12874;0;1;6122455100;-535;5,84
12842;blocking;true;12842;0;1;6119404500;-544;5,84
12862;blocking;true;12862;0;1;6163705400;-552;-1,07
12838;blocking;true;12838;0;1;6174738900;-556;-1,07
12917;blocking;true;12917;0;1;6170442700;-561;-1,07
12941;blocking;true;12941;0;1;6196058700;-569;-1,07
12910;blocking;true;12910;0;1;6195281100;-577;-1,07
12925;blocking;true;12925;0;1;6178410700;-577;-1,07
12914;blocking;true;12914;0;1;6160697300;-581;-1,07
12941;blocking;true;12941;0;1;6219922700;-585;-1,07
12993;blocking;true;12993;0;1;6259367000;-598;2,39
12977;blocking;true;12977;0;1;6269462400;-606;2,39
13046;blocking;true;13046;0;1;6313703300;-615;2,39
13101;blocking;true;13101;0;1;6327501300;-615;2,39
13058;blocking;true;13058;0;1;6339825200;-623;2,39
13093;blocking;true;13093;0;1;6411023000;-623;2,39
13059;blocking;true;13058;0;1;6424147700;-631;2,39
13118;blocking;true;13117;0;1;6451077000;596;-2,9
13129;blocking;true;13129;0;1;6436102200;587;-2,91
13133;blocking;true;13133;0;1;6446678800;583;-2,91
13184;blocking;true;13184;0;1;6472087200;583;-2,91
13166;blocking;true;13166;0;1;6450008700;579;-2,91
13153;blocking;true;13153;0;1;6457434300;575;-2,91
13893;blocking;true;13893;0;1;6216919800;-561;0,45
13331;blocking;true;13331;0;1;6693013600;583;-2,91
13288;blocking;true;13288;0;1;6644013300;579;-2,91
13315;blocking;true;13315;0;2;6660972800;575;0,97
13268;blocking;true;13268;0;1;6611887200;571;0,97
13250;blocking;true;13250;0;1;6606546200;571;0,97
13238;blocking;true;13238;0;1;6616600700;562;0,97
13246;blocking;true;13246;0;1;6600997700;562;0,97
13237;blocking;true;13237;0;0;6629336900;558;0,97
13248;blocking;true;13247;0;1;6640139700;558;0,97
13224;blocking;true;13224;0;1;6655034500;553;0,97
13296;blocking;true;13296;0;1;6663835500;549;0,6
13302;blocking;true;13302;0;1;6660082000;545;0,6
13284;blocking;true;13284;0;1;6669606500;541;0,6
13339;blocking;true;13339;0;1;6681961700;542;-0,96
13319;blocking;true;13319;0;1;6664586800;537;-0,96
13331;blocking;true;13331;0;1;6661476200;533;-0,96
13301;blocking;true;13301;0;1;6657647300;533;-0,96
12463;blocking;true;12463;0;0;6913720700;373;-1,76
13370;blocking;true;13370;0;1;6714124200;537;-0,96
13363;blocking;true;13363;0;1;6712436800;533;-0,96
13393;blocking;true;13393;0;1;6724459400;528;-1,66
13403;blocking;true;13403;0;1;6721005800;524;-1,66
13402;blocking;true;13402;0;2;6731139600;520;-1,66
13412;blocking;true;13412;0;2;6744584700;525;1,5
13396;blocking;true;13396;0;1;6761949500;520;1,5
13401;blocking;true;13400;0;1;6784823000;516;1,5
13402;blocking;true;13402;0;1;6780501500;516;1,5
13359;blocking;true;13359;0;2;6770512600;512;1,5
13342;blocking;true;13342;0;1;6741646300;511;1,5
13346;blocking;true;13346;0;0;6752003000;507;1,5
13353;blocking;true;13353;0;0;6767189700;503;1,5
13347;blocking;true;13347;0;0;6757714800;495;1,5
13372;blocking;true;13372;0;0;6763026800;500;1,5
13390;blocking;true;13390;0;1;6756800100;491;1,5
13376;blocking;true;13376;0;0;6767493000;487;1,4
13370;blocking;true;13370;0;0;6756005500;483;1,4
13365;blocking;true;13365;0;0;6750675600;479;1,4
13400;blocking;true;13400;0;1;6766240600;474;1,4
13377;blocking;true;13377;0;0;6785099100;466;1,4
13384;blocking;true;13384;0;2;6792916400;462;1,4
13386;blocking;true;13386;0;0;6784800400;458;1,4
13388;blocking;true;13388;0;0;6794008100;453;1,4
13385;blocking;true;13385;0;0;6801332700;449;1,4
13374;blocking;true;13374;0;0;6816487700;445;1,4
13385;blocking;true;13385;0;1;6819792600;437;1,4
13398;blocking;true;13398;0;0;6828375600;445;1,4
13369;blocking;true;13369;0;0;6794635500;441;1,4
13367;blocking;true;13367;0;1;6801826500;432;1,4
13356;blocking;true;13356;0;0;6797405900;428;1,4
13371;blocking;true;13371;0;1;6796970700;424;-0,46
13376;blocking;true;13376;0;0;6793526100;420;-0,46
13419;blocking;true;13419;0;1;6912629900;428;-0,46
13387;blocking;true;13387;0;0;6880870100;420;-0,46
13381;blocking;true;13381;0;1;6883876700;416;-0,46
13368;blocking;true;13368;0;0;6857761000;407;-0,46
13385;blocking;true;13385;0;0;6869376300;411;-0,46
13401;blocking;true;13400;0;1;6864526600;407;-0,46
13376;blocking;true;13376;0;0;6860660200;403;-4,19
13377;blocking;true;13377;0;0;6847937300;399;-4,19
13390;blocking;true;13390;0;1;6859837300;394;-4,19
13386;blocking;true;13386;0;0;6852889400;390;-4,19
13369;blocking;true;13369;0;0;6840633900;386;-4,19
13374;blocking;true;13374;0;0;6830652800;373;-4,19
13387;blocking;true;13387;0;0;6834372900;382;-4,19
13392;blocking;true;13392;0;2;6842928900;369;-4,19
13399;blocking;true;13399;0;0;6860923400;365;-4,19
13407;blocking;true;13407;0;0;6864693300;361;-4,19
13408;blocking;true;13408;0;0;6868058300;352;-4,19
13402;blocking;true;13402;0;1;6855549100;348;-4,19
13394;blocking;true;13394;0;0;6859971000;344;-4,19
13379;blocking;true;13379;0;0;6862312200;340;-4,19
13385;blocking;true;13385;0;1;6867476600;336;-4,19
13394;blocking;true;13394;0;0;6873061100;331;-4,19
13419;blocking;true;13419;0;0;6889972400;335;-4,19
13400;blocking;true;13400;0;1;6879266000;327;-4,19
13383;blocking;true;13383;0;0;6880018400;323;-4,19
13387;blocking;true;13386;0;0;6888689000;319;-4,19
13389;blocking;true;13389;0;0;6891176700;314;-4,19
13412;blocking;true;13412;0;2;6907743100;310;-4,19
13385;blocking;true;13385;0;0;6888959200;306;-4,9
13379;blocking;true;13379;0;4;6887058200;302;-6,86
13385;blocking;true;13385;0;0;6900119000;298;-6,86
13352;blocking;true;13352;0;0;6898483300;293;-6,86
13314;blocking;true;13314;0;0;6887723100;285;-6,86
13503;blocking;true;13502;0;0;7096293400;294;-5,6
13504;blocking;true;13504;0;0;7085559200;290;-43,22
13519;blocking;true;13519;0;0;7079694100;285;-43,22
13513;blocking;true;13513;0;0;7059919100;281;-43,22
13460;blocking;true;13460;0;0;6997189500;277;-43,22
13451;blocking;true;13451;0;0;6978291800;273;-43,22
13434;blocking;true;13434;0;0;6968710800;264;-43,22
13386;blocking;true;13386;0;0;6921367900;260;-43,22
13378;blocking;true;13378;0;0;6904464700;260;-43,22
13360;blocking;true;13360;0;0;6860561300;260;-40,55
13292;blocking;true;13292;0;0;6813510800;256;-40,55
13286;blocking;true;13286;0;0;6805152700;260;1,52
13338;blocking;true;13338;0;0;6858568800;260;1,52
13263;blocking;true;13263;0;0;6829444200;264;1,52
13186;blocking;true;13186;0;0;6742384700;260;1,52
13262;blocking;true;13262;0;0;6803566400;264;-0,62
13241;blocking;true;13241;0;0;6799735000;264;-0,62
13339;blocking;true;13339;0;0;6894747500;277;0,01
