elapsed;label;success;Latency;IdleTime;Connect;time;mem;cpu
905;blocking;true;905;0;1;553206300;0;0
956;blocking;true;956;0;1;553206500;0;0
1056;blocking;true;1056;0;1;558783500;0;0
1006;blocking;true;1006;0;1;565571200;0;0
1154;blocking;true;1154;0;2;572528900;5;0
1106;blocking;true;1106;0;1;586851400;5;0
860;blocking;true;860;0;1;593369500;5;0
811;blocking;true;811;0;0;563739600;5;0
504;blocking;true;504;0;0;232680200;0;0
523;blocking;true;523;0;0;239054500;0;0
541;blocking;true;541;0;0;246147400;4;0
553;blocking;true;553;0;0;253383900;4;0
570;blocking;true;570;0;0;262961500;4;0
585;blocking;true;585;0;0;274317500;4;0
595;blocking;true;595;0;0;289460000;8;0
614;blocking;true;614;0;0;303915900;8;0
556;blocking;true;556;0;0;277268200;0;0
559;blocking;true;559;0;0;283666800;0;0
568;blocking;true;568;0;0;283787600;0;0
575;blocking;true;575;0;0;286745400;0;0
569;blocking;true;569;0;0;279833200;0;0
572;blocking;true;572;0;0;285435800;0;0
574;blocking;true;574;0;0;281024000;0;0
561;blocking;true;561;0;0;282039200;0;0
2071;blocking;true;2071;0;1;263519600;0;0
2294;blocking;true;2294;0;1;270468500;0;0
2173;blocking;true;2173;0;1;278163400;0;0
2399;blocking;true;2399;0;1;285425400;0;0
2459;blocking;true;2459;0;1;279751500;0;0
2284;blocking;true;2284;0;0;280688200;0;0
2343;blocking;true;2343;0;1;271774600;0;0
2159;blocking;true;2159;0;1;282232100;0;0
2253;blocking;true;2253;0;0;304911600;0;0
2471;blocking;true;2471;0;1;299120300;4;0
2344;blocking;true;2344;0;1;288988000;4;0
2570;blocking;true;2570;0;1;293198400;4;0
2634;blocking;true;2634;0;1;303894600;4;0
2455;blocking;true;2455;0;0;292446200;4;0
2519;blocking;true;2519;0;1;293747500;4;0
2340;blocking;true;2340;0;0;297048100;4;0
1736;blocking;true;1736;0;0;294464400;0;0
1753;blocking;true;1753;0;0;290915700;0;0
1716;blocking;true;1716;0;0;301385600;0;0
1712;blocking;true;1712;0;0;294027400;0;0
1730;blocking;true;1730;0;0;298188000;0;0
1753;blocking;true;1753;0;0;304361000;0;0
1761;blocking;true;1761;0;0;304884200;0;0
1762;blocking;true;1762;0;0;299003700;0;0
1736;blocking;true;1736;0;0;288614500;0;0
1770;blocking;true;1770;0;0;299478200;0;0
1728;blocking;true;1728;0;0;299534900;0;0
1709;blocking;true;1709;0;0;291394900;0;0
1726;blocking;true;1726;0;0;294118600;0;0
1729;blocking;true;1729;0;0;282180000;4;0
1730;blocking;true;1730;0;0;272894600;4;0
1734;blocking;true;1734;0;0;279305900;4;0
1717;blocking;true;1717;0;0;262156200;0;0
1753;blocking;true;1753;0;0;264773500;0;0
1713;blocking;true;1713;0;0;257737600;0;0
1718;blocking;true;1718;0;0;283960200;0;0
1733;blocking;true;1733;0;0;281595600;0;0
1724;blocking;true;1724;0;0;269032400;0;0
