elapsed;label;success;Latency;IdleTime;Connect;time;mem;cpu
1267;blocking;true;1267;0;0;910047600;923;-2,1
1545;blocking;true;1545;0;3;1091527800;-182;-2,1
1528;blocking;true;1528;0;0;1125920500;-190;-2,1
1672;blocking;true;1672;0;0;1391287500;12;0,87
1644;blocking;true;1644;0;0;1396776400;-17;0,87
1783;blocking;true;1783;0;1;1522284800;36;0,87
1760;blocking;true;1760;0;0;1500002400;32;0,87
1994;blocking;true;1993;0;0;1734853300;209;-1,06
1947;blocking;true;1947;0;0;1354891300;71;-1,06
2165;blocking;true;2165;0;0;1642928300;184;-1,06
2215;blocking;true;2215;0;0;1651004900;226;-1,06
2298;blocking;true;2298;0;1;1842900500;251;-3,3
2280;blocking;true;2280;0;1;1864391200;209;-3,3
2551;blocking;true;2551;0;0;2110072000;394;-3,3
2519;blocking;true;2519;0;1;2132348800;352;-3,3
2657;blocking;true;2657;0;1;2304924300;-821;-6,39
2609;blocking;true;2609;0;0;2153826000;-863;-6,39
2853;blocking;true;2853;0;1;2427384100;-678;-4,29
2844;blocking;true;2844;0;1;2440749600;-707;-4,29
2967;blocking;true;2967;0;1;2610529800;-628;-5,44
2928;blocking;true;2928;0;0;2608224700;-695;-5,44
3144;blocking;true;3144;0;1;2876697100;-515;-5,44
3123;blocking;true;3123;0;0;2879380100;-553;-5,44
3319;blocking;true;3319;0;1;2958132900;-490;0,41
3284;blocking;true;3284;0;1;2938938600;-532;0,41
3499;blocking;true;3499;0;1;3233461500;904;0,41
3498;blocking;true;3498;0;0;3225623200;871;0,41
3670;blocking;true;3670;0;0;3392173800;946;0,94
3666;blocking;true;3666;0;0;3388446600;921;0,94
3868;blocking;true;3868;0;0;3575783600;-142;0,94
3848;blocking;true;3848;0;1;3553469600;-159;0,94
4039;blocking;true;4039;0;0;3729562400;-104;-4,41
4017;blocking;true;4017;0;0;3741293500;-130;-4,41
4269;blocking;true;4269;0;0;4030032700;9;-4,41
4256;blocking;true;4256;0;0;4019968200;-20;-4,41
4403;blocking;true;4403;0;0;4082641200;38;-4,41
4379;blocking;true;4379;0;1;4073514400;9;-6,86
4597;blocking;true;4597;0;0;4282539500;147;-6,86
4567;blocking;true;4567;0;1;4271026000;122;-6,86
4687;blocking;true;4687;0;0;4437484900;185;-6,86
4680;blocking;true;4680;0;0;4431563800;147;-6,86
5019;blocking;true;5019;0;0;4593424400;290;-5,01
5002;blocking;true;5002;0;1;4606128300;281;-5,01
