elapsed;label;success;Latency;IdleTime;Connect;time;mem;cpu
2125;factorial;true;2125;0;1;1002928301;46;-10,44
2324;factorial;true;2324;0;4;1002918400;46;-10,44
2176;factorial;true;2176;0;3;1011986300;50;-10,44
2312;factorial;true;2312;0;1;1020687201;50;-10,44
2127;factorial;true;2127;0;1;1033181000;54;-10,44
2276;factorial;true;2276;0;0;1050360801;54;-10,44
2109;factorial;true;2109;0;0;993349200;54;-10,44
2101;factorial;true;2101;0;1;950714600;50;-10,44
2064;factorial;true;2064;0;1;914048200;50;-10,44
2023;factorial;true;2023;0;1;869966599;54;-10,44
2010;factorial;true;2010;0;1;832383299;54;-10,44
1980;factorial;true;1980;0;1;791460501;54;-10,44
1967;factorial;true;1967;0;1;772925600;54;-10,44
1997;factorial;true;1997;0;1;774661500;54;-10,44
1959;factorial;true;1959;0;0;727175600;54;-10,44
1999;factorial;true;1999;0;1;680130000;55;-3,11
2031;factorial;true;2031;0;0;704226599;59;-3,11
2032;factorial;true;2032;0;1;702396100;59;-3,11
2035;factorial;true;2035;0;0;695610900;59;-3,11
2227;factorial;true;2227;0;1;777918800;63;4,49
2387;factorial;true;2387;0;0;842346900;67;-0,66
2489;factorial;true;2489;0;1;859293799;71;-0,66
2637;factorial;true;2637;0;1;919019400;76;-0,66
2747;factorial;true;2747;0;1;963932900;80;-0,83
2913;factorial;true;2913;0;1;1019732000;84;-0,83
3029;factorial;true;3029;0;1;1083735801;84;2,01
3161;factorial;true;3161;0;0;1140707100;88;0,83
3403;factorial;true;3403;0;0;1189287800;97;0,83
3448;factorial;true;3448;0;1;1210497399;97;0,83
3541;factorial;true;3541;0;0;1231211000;96;2,78
3666;factorial;true;3666;0;1;1273746400;104;-4,55
3799;factorial;true;3799;0;1;1311351500;105;-4,55
3971;factorial;true;3971;0;1;1350293600;113;-5,05
4106;factorial;true;4106;0;1;1383546300;118;-5,05
4333;factorial;true;4332;0;1;1432019600;126;-3,83
4498;factorial;true;4498;0;1;1504818800;130;-3,83
4637;factorial;true;4637;0;1;1517623000;134;1,31
4904;factorial;true;4904;0;0;1582479100;143;0,04
5147;factorial;true;5147;0;0;1650613800;151;0,04
5487;factorial;true;5487;0;0;1710866200;163;0,21
5645;factorial;true;5645;0;1;1745413601;168;-1,21
5911;factorial;true;5911;0;1;1799426700;176;-1,04
6017;factorial;true;6017;0;1;1826820000;176;-1,04
6267;factorial;true;6267;0;0;2049392101;181;-0,84
6218;factorial;true;6218;0;1;1875556400;185;-0,84
6425;factorial;true;6425;0;0;1912461700;197;-0,84
6422;factorial;true;6422;0;0;1907361900;197;-0,84
6848;factorial;true;6848;0;0;1979284700;222;-1,69
6998;factorial;true;6998;0;1;2000705999;226;7,82
7204;factorial;true;7204;0;1;2072172500;227;7,82
7411;factorial;true;7411;0;1;2169821900;234;2,45
7534;factorial;true;7534;0;1;2201829899;235;2,45
7575;factorial;true;7575;0;1;2261378200;231;2,45
7808;factorial;true;7808;0;0;2321478300;227;-1,58
7859;factorial;true;7859;0;1;2327000500;223;-1,58
8041;factorial;true;8041;0;0;2417446200;219;-1,58
8073;factorial;true;8073;0;1;2418323200;214;-1,58
7750;factorial;true;7750;0;0;2083672500;214;-1,26
8234;factorial;true;8234;0;1;2522220999;210;-1,26
8330;factorial;true;8330;0;1;2589111500;206;-0,76
8443;factorial;true;8443;0;1;2659462300;198;-0,76
8546;factorial;true;8546;0;0;2757584600;193;-0,26
8614;factorial;true;8614;0;0;2791479800;189;-0,26
