elapsed;label;success;Latency;IdleTime;Connect;time;mem;cpu
816;factorial;true;816;0;1;508959100;0;0
864;factorial;true;864;0;1;511209600;0;0
614;factorial;true;614;0;0;518292300;0;0
707;factorial;true;707;0;1;524353500;5;0
567;factorial;true;567;0;0;506412900;5;0
754;factorial;true;754;0;0;474535800;5;0
660;factorial;true;660;0;1;445564800;5;0
916;factorial;true;916;0;1;415004600;5;0
1459;factorial;true;1459;0;0;159999900;17;0
1521;factorial;true;1521;0;0;169389000;17;0
1639;factorial;true;1639;0;0;178359500;21;0
1818;factorial;true;1818;0;0;185992300;21;0
1516;factorial;true;1516;0;1;197644500;21;5,63
1767;factorial;true;1767;0;0;219464700;17;5,63
1863;factorial;true;1863;0;1;220479900;13;5,63
1767;factorial;true;1767;0;1;234645400;21;5,63
1767;factorial;true;1767;0;1;335223400;0;0
1824;factorial;true;1824;0;1;268032500;0;0
1938;factorial;true;1938;0;0;323398900;0;0
1915;factorial;true;1915;0;0;266340600;0;20,59
1788;factorial;true;1788;0;1;224431300;0;20,59
1898;factorial;true;1898;0;0;160927600;0;0
2015;factorial;true;2015;0;0;176037600;0;0
1969;factorial;true;1969;0;1;179152200;4;0
2842;factorial;true;2842;0;1;182442600;0;0
3003;factorial;true;3003;0;1;186474900;0;0
2913;factorial;true;2913;0;0;186194400;0;0
2992;factorial;true;2992;0;0;186682600;0;0
2870;factorial;true;2870;0;1;180080700;0;0
2975;factorial;true;2975;0;1;192039900;0;-1,78
3031;factorial;true;3031;0;1;181210300;0;-1,78
2800;factorial;true;2800;0;0;180958200;0;0
2961;factorial;true;2961;0;1;177249100;0;0
2874;factorial;true;2874;0;1;176247800;0;0
3038;factorial;true;3038;0;1;177413800;0;0
2950;factorial;true;2950;0;0;177643200;0;0
2828;factorial;true;2828;0;0;175642800;0;0
2942;factorial;true;2942;0;0;170786900;0;0
3009;factorial;true;3009;0;0;178784600;0;0
378;factorial;true;378;0;0;180783200;0;-1,45
2945;factorial;true;2945;0;0;183004400;0;-1,45
2864;factorial;true;2864;0;1;184676000;0;-1,45
3025;factorial;true;3025;0;1;189911300;0;-1,45
2947;factorial;true;2947;0;1;198996400;0;-1,45
423;factorial;true;423;0;0;189036800;0;-1,45
352;factorial;true;352;0;0;162868100;0;0
373;factorial;true;373;0;0;192066600;0;0
366;factorial;true;366;0;0;182967600;0;0
371;factorial;true;371;0;0;184031700;0;0
365;factorial;true;365;0;0;184521500;0;0
364;factorial;true;364;0;0;180164000;0;0
4425;factorial;true;4425;0;0;178173800;0;-0,31
4615;factorial;true;4615;0;0;182871900;0;0
4692;factorial;true;4692;0;0;190202900;0;0
4397;factorial;true;4397;0;0;185833100;0;0
4759;factorial;true;4759;0;0;183323500;0;0
4570;factorial;true;4570;0;0;180287900;0;0,51
4851;factorial;true;4851;0;0;186109700;0;0,51
4667;factorial;true;4667;0;1;197215700;0;0
4726;factorial;true;4726;0;0;185949100;0;0
5097;factorial;true;5097;0;0;166449200;0;0
5043;factorial;true;5043;0;0;184741300;0;0
4816;factorial;true;4816;0;1;178779500;0;0
5130;factorial;true;5130;0;0;177308700;0;0
5063;factorial;true;5063;0;0;181848400;0;0
5008;factorial;true;5008;0;0;183214500;0;0
5094;factorial;true;5094;0;0;180692900;0;0
730;factorial;true;730;0;0;177050700;0;-3,06
724;factorial;true;724;0;0;181093700;0;0
7050;factorial;true;7050;0;1;232052000;0;0
7207;factorial;true;7207;0;1;222189100;0;0
7330;factorial;true;7330;0;0;230144100;0;-1,47
7005;factorial;true;7005;0;0;180509900;0;0
7380;factorial;true;7380;0;0;183358900;0;0
7161;factorial;true;7161;0;0;181699800;0;0
7434;factorial;true;7434;0;0;172614500;0;0
7274;factorial;true;7274;0;0;169558700;0;0
7299;factorial;true;7299;0;1;145112400;0;0,38
365;factorial;true;365;0;0;191681500;0;0,38
7380;factorial;true;7380;0;1;167528900;4;0
711;factorial;true;711;0;0;179977700;0;1,19
8038;factorial;true;8038;0;0;179620800;0;1,19
7965;factorial;true;7965;0;1;176378700;0;1,19
8062;factorial;true;8062;0;1;175563900;0;1,19
702;factorial;true;702;0;0;178790900;0;0
1084;factorial;true;1084;0;0;179670100;0;0
1050;factorial;true;1050;0;0;176161000;0;0
7991;factorial;true;7991;0;1;183618000;0;0
7913;factorial;true;7913;0;0;171355300;0;0
7982;factorial;true;7982;0;1;160970100;0;0
1009;factorial;true;1009;0;0;132355500;0;0
1050;factorial;true;1050;0;0;174785200;0;-0,74
7930;factorial;true;7930;0;0;169980500;0;0
1075;factorial;true;1075;0;0;169800600;0;0
699;factorial;true;699;0;0;177803500;0;-1,57
702;factorial;true;702;0;0;175873700;0;-1,57
7879;factorial;true;7879;0;0;171365500;0;-1,57
1066;factorial;true;1066;0;0;176160700;0;0
1073;factorial;true;1073;0;0;181162700;0;0
759;factorial;true;759;0;0;185725100;4;0
1108;factorial;true;1108;0;0;172946100;0;0
10069;factorial;true;10069;0;0;169188900;0;-1,93
10265;factorial;true;10265;0;1;171289300;0;0
10171;factorial;true;10171;0;0;170741000;0;0
10201;factorial;true;10201;0;1;167135600;0;0
10025;factorial;true;10025;0;1;169632100;0;0
10449;factorial;true;10449;0;1;183144200;0;2,2
10222;factorial;true;10222;0;1;182010000;0;2,2
10128;factorial;true;10128;0;1;181355500;0;2,2
10151;factorial;true;10151;0;0;171720400;0;0
10395;factorial;true;10395;0;0;176910200;0;0
11473;factorial;true;11473;0;1;177609700;4;0
11394;factorial;true;11394;0;0;175721000;4;0
1381;factorial;true;1381;0;0;170297300;0;0
1387;factorial;true;1387;0;0;169688200;0;0
11419;factorial;true;11419;0;0;169666000;0;-0,72
11336;factorial;true;11336;0;0;169011700;0;-0,72
1727;factorial;true;1727;0;0;167256800;0;-0,72
1714;factorial;true;1714;0;0;161516600;0;0
1412;factorial;true;1412;0;0;197321100;0;0
1733;factorial;true;1733;0;0;174299000;0;0
11358;factorial;true;11358;0;0;169263000;0;0
11288;factorial;true;11288;0;0;180089500;0;0
1707;factorial;true;1707;0;0;154958500;0;0
1753;factorial;true;1753;0;0;169580600;0;0,74
11307;factorial;true;11307;0;0;176386600;0;0
11234;factorial;true;11234;0;1;169734600;0;0
12094;factorial;true;12094;0;0;191396900;0;-1,11
12067;factorial;true;12067;0;0;173399300;0;0
1526;factorial;true;1526;0;0;174087800;0;-0,55
1528;factorial;true;1528;0;0;173215300;0;-0,55
13694;factorial;true;13694;0;0;174155600;0;0
1871;factorial;true;1871;0;0;172028700;0;0
1873;factorial;true;1873;0;0;173525600;0;0
13903;factorial;true;13902;0;0;148379700;0;1,51
14167;factorial;true;14167;0;0;177442200;0;0
14046;factorial;true;14046;0;1;183858100;0;0
13719;factorial;true;13719;0;0;189085600;0;0
2306;factorial;true;2306;0;0;207251700;0;0
1527;factorial;true;1527;0;0;214732200;0;0
2315;factorial;true;2315;0;0;216352900;0;0
14114;factorial;true;14114;0;1;218615400;0;0
13948;factorial;true;13948;0;1;230352300;0;0
14150;factorial;true;14150;0;1;205093700;0;-2,24
14046;factorial;true;14046;0;0;217473500;0;-2,24
1895;factorial;true;1895;0;0;195762700;0;0
14093;factorial;true;14093;0;0;198216000;0;0
359;factorial;true;359;0;0;175289400;0;0
359;factorial;true;359;0;0;176159300;0;0
2257;factorial;true;2257;0;0;183568500;0;2,31
361;factorial;true;361;0;0;179371400;0;2,31
716;factorial;true;716;0;0;175752000;0;2,31
719;factorial;true;719;0;0;180299100;0;0
737;factorial;true;737;0;0;175521300;0;0
742;factorial;true;742;0;0;189577400;0;0
2172;factorial;true;2172;0;0;188444700;0;4,66
2142;factorial;true;2142;0;0;155085800;0;0
2177;factorial;true;2177;0;0;172172900;0;0
2208;factorial;true;2208;0;0;173008200;0;0
2533;factorial;true;2533;0;0;172809300;0;0
2504;factorial;true;2504;0;0;182846500;0;-3,92
2529;factorial;true;2529;0;0;183259700;0;-3,92
16464;factorial;true;16464;0;1;182632700;0;-0,77
16389;factorial;true;16389;0;1;165974300;0;-0,77
16409;factorial;true;16409;0;0;169737300;0;0
16341;factorial;true;16341;0;0;176718700;4;0
353;factorial;true;353;0;0;179042000;0;0
17124;factorial;true;17124;0;0;174958700;0;0
347;factorial;true;347;0;0;171235900;0;0
3599;factorial;true;3599;0;0;171495000;0;0
17079;factorial;true;17079;0;1;170721400;0;1,5
308;factorial;true;308;0;0;150161700;0;0
18222;factorial;true;18222;0;1;168859700;0;-2,22
18288;factorial;true;18288;0;0;170062100;0;-2,22
18641;factorial;true;18641;0;0;169132600;0;0
18599;factorial;true;18599;0;1;168974800;0;0
18154;factorial;true;18154;0;0;160634600;0;0
18227;factorial;true;18227;0;0;167090500;0;0
18588;factorial;true;18588;0;1;173435200;0;0
18544;factorial;true;18544;0;1;172779600;0;0
18815;factorial;true;18815;0;0;171682200;0;0
5263;factorial;true;5263;0;0;172753800;0;0
18752;factorial;true;18752;0;1;168423700;0;0,36
683;factorial;true;683;0;0;167207800;0;0,36
2376;factorial;true;2376;0;0;167948600;0;0,36
2384;factorial;true;2384;0;0;168009300;0;0
2715;factorial;true;2715;0;0;169518900;0;0
2724;factorial;true;2724;0;0;170787600;0;0,75
1396;factorial;true;1396;0;0;202876700;0;0
2366;factorial;true;2366;0;0;172813900;0;0
1030;factorial;true;1030;0;0;172932200;0;-1,48
2718;factorial;true;2718;0;0;172622200;0;0
2778;factorial;true;2778;0;0;190010900;0;0
2829;factorial;true;2829;0;0;200735300;0;-1,99
2844;factorial;true;2844;0;0;200763700;0;-1,99
2504;factorial;true;2504;0;0;200139100;0;-1,99
3152;factorial;true;3152;0;0;199337700;0;-1,99
3196;factorial;true;3196;0;0;189798800;0;-1,99
3165;factorial;true;3165;0;0;167849300;0;0
3202;factorial;true;3202;0;0;201038700;0;0
2854;factorial;true;2854;0;0;173753200;0;0
21911;factorial;true;21911;0;1;172660000;0;0,81
21838;factorial;true;21838;0;1;171304300;0;0,81
21858;factorial;true;21858;0;1;167982500;0;0
21791;factorial;true;21791;0;1;165049500;0;0,38
22605;factorial;true;22605;0;1;164037600;0;0
23032;factorial;true;23032;0;1;168402200;0;-1,18
22546;factorial;true;22546;0;1;167007300;0;0
23400;factorial;true;23400;0;1;172391000;0;0
22971;factorial;true;22971;0;0;169662300;0;0
23743;factorial;true;23743;0;1;167944600;0;0
23626;factorial;true;23626;0;0;171909500;0;0
23858;factorial;true;23858;0;0;175082200;0;0
23386;factorial;true;23386;0;1;175013900;4;0
23779;factorial;true;23779;0;0;223754200;0;2,57
23665;factorial;true;23665;0;1;230270100;0;2,57
23893;factorial;true;23893;0;1;234925000;0;0
823;factorial;true;823;0;0;210641300;0;0
803;factorial;true;803;0;0;188937000;0;-4,04
729;factorial;true;729;0;0;178472300;0;0
1117;factorial;true;1117;0;0;178328400;0;0
1111;factorial;true;1111;0;0;179038100;0;0
1550;factorial;true;1550;0;0;185822500;0;0
1509;factorial;true;1509;0;0;199811000;0;1,5
2295;factorial;true;2295;0;0;194728000;0;1,5
3365;factorial;true;3365;0;0;190865000;4;0
3397;factorial;true;3397;0;0;190447000;4;0
1886;factorial;true;1886;0;0;190376000;0;0
3718;factorial;true;3718;0;0;172215100;0;-0,68
3760;factorial;true;3760;0;0;169238900;0;-0,68
3444;factorial;true;3444;0;0;196443200;0;-0,75
3795;factorial;true;3795;0;0;177614700;0;0
4162;factorial;true;4162;0;0;180673300;0;0
4191;factorial;true;4191;0;0;184816800;0;0
3851;factorial;true;3851;0;0;185404400;0;-1,43
4554;factorial;true;4554;0;0;192994600;0;-1,43
3842;factorial;true;3842;0;0;205264300;0;0
