elapsed;label;success;Latency;IdleTime;Connect;time;mem;cpu
1080;factorial;true;1080;0;0;786911400;0;0
1379;factorial;true;1379;0;0;786960000;0;0
1429;factorial;true;1429;0;1;794057600;0;0
1280;factorial;true;1280;0;0;801703000;0;0
1230;factorial;true;1230;0;0;810676400;0;0
1180;factorial;true;1180;0;0;828700100;0;0
1129;factorial;true;1129;0;0;845238600;4;0
1470;factorial;true;1470;0;1;854003700;4;0
1923;factorial;true;1923;0;0;190264700;0;-5,31
2178;factorial;true;2178;0;0;239152200;17;0
2144;factorial;true;2144;0;1;242978600;9;2,35
2060;factorial;true;2060;0;0;228939200;9;2,35
2045;factorial;true;2045;0;0;209805300;9;2,35
2177;factorial;true;2177;0;1;235310900;9;2,35
2375;factorial;true;2375;0;0;244497500;9;2,35
2823;factorial;true;2823;0;1;247300300;4;0
3081;factorial;true;3081;0;0;243043100;0;0
3055;factorial;true;3055;0;0;239165800;0;-2,22
3043;factorial;true;3043;0;1;236283800;0;0
3002;factorial;true;3002;0;1;237831600;0;0
3021;factorial;true;3021;0;0;240313600;0;0
3266;factorial;true;3266;0;0;241879000;0;0
3779;factorial;true;3779;0;1;261906500;0;1,13
5041;factorial;true;5041;0;1;254525700;0;0,16
4077;factorial;true;4077;0;0;268242600;4;1,25
4034;factorial;true;4034;0;0;261235200;4;1,25
4008;factorial;true;4008;0;1;264709700;4;1,25
3966;factorial;true;3966;0;0;258365900;4;1,25
3942;factorial;true;3942;0;1;250230600;4;1,25
4785;factorial;true;4785;0;0;258748500;0;0
4977;factorial;true;4977;0;1;257923200;0;-4,72
5029;factorial;true;5029;0;1;259546500;0;0
4997;factorial;true;4997;0;1;273269600;0;0
4986;factorial;true;4986;0;1;270964000;0;0
4959;factorial;true;4959;0;0;267250800;0;0
4942;factorial;true;4942;0;1;272160700;0;0
5710;factorial;true;5710;0;1;245426400;4;1,59
5839;factorial;true;5839;0;1;238229400;4;0
5909;factorial;true;5909;0;1;239758000;0;0
5893;factorial;true;5893;0;0;232975500;0;0
5842;factorial;true;5842;0;0;236259500;0;0,53
5908;factorial;true;5908;0;1;234829900;0;0,53
5823;factorial;true;5823;0;1;232393400;0;0,53
6629;factorial;true;6629;0;1;260014600;0;0
6737;factorial;true;6737;0;0;243882400;0;-1,18
6803;factorial;true;6803;0;0;227205200;0;-1,18
6782;factorial;true;6782;0;0;237325600;0;-1,18
6775;factorial;true;6775;0;1;217872700;0;-1,18
6753;factorial;true;6753;0;1;226867000;0;-1,18
6728;factorial;true;6728;0;0;236311100;0;0
7505;factorial;true;7505;0;0;245040800;9;1,94
7613;factorial;true;7613;0;1;250467000;0;0
7719;factorial;true;7719;0;1;241691800;0;0
7743;factorial;true;7743;0;0;256817800;0;0
7705;factorial;true;7705;0;0;244563900;0;0
7668;factorial;true;7668;0;0;229147300;0;0
7905;factorial;true;7905;0;0;247193800;4;0
8384;factorial;true;8384;0;0;233221200;0;0
8516;factorial;true;8516;0;1;242243100;0;0
8575;factorial;true;8575;0;1;236181100;0;-1,55
8590;factorial;true;8590;0;1;228419000;0;-1,55
8558;factorial;true;8558;0;0;233004600;0;-1,55
