elapsed;label;success;Latency;IdleTime;Connect;time;mem;cpu;group
4424;getElement;true;4414;0;1;2546166300;88;1,83;1
4519;getElement;true;4510;0;0;2546165900;92;1,83;1
4473;getElement;true;4463;0;1;2330349000;79;1,83;1
4625;getElement;true;4615;0;2;2533403900;93;1,83;1
4363;getElement;true;4354;0;1;2423861200;88;1,83;1
4566;getElement;true;4556;0;1;2483742000;88;1,83;1
4270;getElement;true;4259;0;0;2546193000;105;1,83;1
4324;getElement;true;4324;0;1;2398609600;92;1,83;1
4247;getElement;true;4247;0;0;2310136400;92;1,83;1
4195;getElement;true;4195;0;1;2258366200;96;1,83;1
6346;getElement;true;6346;0;1;3816436300;197;-0,51;1
6559;getElement;true;6559;0;0;4018224200;197;-0,51;1
6521;getElement;true;6520;0;1;3966280200;197;-0,51;1
6635;getElement;true;6634;0;1;4067628300;197;-0,51;1
6500;getElement;true;6500;0;1;3916581600;197;-0,51;1
6473;getElement;true;6473;0;0;3867029000;201;-0,51;1
6721;getElement;true;6720;0;0;4107758200;205;-0,51;1
6517;getElement;true;6516;0;1;3780554600;209;-0,51;1
6478;getElement;true;6477;0;1;3746831600;209;-0,51;1
6483;getElement;true;6482;0;0;3708165800;209;-0,51;1
9332;getElement;true;9332;0;1;6137919400;314;-1,09;1
9323;getElement;true;9322;0;0;6108200200;314;-1,09;1
9291;getElement;true;9291;0;0;6071332000;314;-1,09;1
9266;getElement;true;9265;0;1;6033541500;314;-1,09;1
9229;getElement;true;9229;0;1;5999859900;314;-1,09;1
9210;getElement;true;9210;0;0;5971722400;314;-1,09;1
9169;getElement;true;9169;0;0;5930268200;306;-1,38;1
9193;getElement;true;9192;0;0;6016161700;302;-1,38;1
9156;getElement;true;9155;0;1;5978413500;302;-1,38;1
9141;getElement;true;9141;0;0;5982955100;302;-1,38;1
10361;getElement;true;10360;0;1;8830967400;302;-0,96;1
10320;getElement;true;10320;0;0;8821737400;297;-0,96;1
10277;getElement;true;10277;0;1;8787653300;293;-0,96;1
10237;getElement;true;10237;0;1;8765633000;293;-0,96;1
10195;getElement;true;10194;0;0;8727529300;289;-0,96;1
10155;getElement;true;10155;0;1;8711390600;289;-0,96;1
10113;getElement;true;10113;0;0;8669730100;285;-0,96;1
10072;getElement;true;10071;0;0;8691916300;281;0,06;1
10030;getElement;true;10029;0;0;8655162700;281;0,06;1
9989;getElement;true;9988;0;0;8639113900;276;0,06;1
10590;getElement;true;10590;0;1;9859640400;276;2,36;1
10557;getElement;true;10557;0;1;9819239600;272;2,36;1
10519;getElement;true;10518;0;1;9776560600;268;2,36;1
10477;getElement;true;10477;0;0;9735548900;268;2,36;1
10434;getElement;true;10434;0;0;9693056400;264;2,36;1
10394;getElement;true;10393;0;0;9652584000;260;2,36;1
10352;getElement;true;10351;0;0;9610845800;260;-0,2;1
10310;getElement;true;10310;0;1;9569037900;255;-0,2;1
10275;getElement;true;10274;0;1;9527698300;255;-0,2;1
10266;getElement;true;10265;0;1;9486760200;251;-0,2;1
10822;getElement;true;10821;0;1;10089495600;247;-2,24;1
10786;getElement;true;10786;0;0;10056363800;247;-2,24;1
10753;getElement;true;10752;0;1;10018164700;247;-2,24;1
10711;getElement;true;10711;0;1;9976544600;247;-2,24;1
10669;getElement;true;10669;0;0;9935821200;234;-2,24;1
10629;getElement;true;10628;0;1;9894629700;226;-2,24;1
10588;getElement;true;10587;0;0;9852179300;226;-1,56;1
10550;getElement;true;10550;0;0;9811362500;222;-1,56;1
10521;getElement;true;10521;0;1;9776481000;222;-1,56;1
10509;getElement;true;10509;0;0;9766159600;222;-1,56;1
11057;getElement;true;11056;0;1;10322233100;222;-0,82;1
11027;getElement;true;11027;0;0;10285071800;218;-0,82;1
10991;getElement;true;10990;0;1;10250649600;205;-0,82;1
10951;getElement;true;10951;0;0;10207710300;205;-3,15;1
10911;getElement;true;10911;0;0;10167231900;205;-3,15;1
10871;getElement;true;10870;0;0;10128049800;201;-3,15;1
10829;getElement;true;10828;0;1;10086088100;201;-3,15;1
10802;getElement;true;10802;0;0;10049167600;192;-3,15;1
10767;getElement;true;10767;0;1;10018048200;188;-3,15;1
10770;getElement;true;10770;0;1;10007934700;188;-3,15;1
11296;getElement;true;11295;0;1;10555351300;184;-3,38;1
11267;getElement;true;11267;0;0;10527254100;184;-3,38;1
11226;getElement;true;11226;0;1;10489539600;184;1,91;1
11194;getElement;true;11193;0;0;10452454300;176;1,91;1
11153;getElement;true;11153;0;1;10412512800;171;1,91;1
11111;getElement;true;11110;0;0;10368631200;171;1,91;1
11049;getElement;true;11049;0;1;10298832100;167;1,91;1
11019;getElement;true;11019;0;1;10266754600;159;-0,58;1
11029;getElement;true;11029;0;1;10268917300;159;-0,58;1
11232;getElement;true;11231;0;1;10327668500;171;1,91;1
11567;getElement;true;11567;0;1;10790454800;155;1,33;1
11536;getElement;true;11536;0;0;10764646200;155;1,33;1
11495;getElement;true;11495;0;0;10724702100;146;1,33;1
11462;getElement;true;11461;0;0;10690641000;142;1,33;1
11426;getElement;true;11426;0;1;10650577700;142;1,33;1
11384;getElement;true;11384;0;1;10610052000;138;1,33;1
11342;getElement;true;11342;0;0;10599674300;138;1,33;1
11319;getElement;true;11319;0;1;10569880500;130;2,52;1
11330;getElement;true;11330;0;0;10576582900;125;2,52;1
11352;getElement;true;11352;0;0;10579086500;125;2,52;1
11867;getElement;true;11866;0;1;11068467800;125;-0,38;1
11836;getElement;true;11835;0;1;11034417400;121;-0,38;1
11796;getElement;true;11796;0;1;10994021300;121;-0,38;1
11789;getElement;true;11789;0;0;10988928500;117;-0,38;1
11798;getElement;true;11798;0;0;11002050300;117;-0,38;1
11815;getElement;true;11814;0;0;11010022000;117;-0,38;1
11838;getElement;true;11838;0;0;11018511100;117;-0,38;1
11854;getElement;true;11854;0;0;11043880900;117;-0,38;1
