elapsed;label;success;Latency;IdleTime;Connect;time;mem;cpu
2095;getElement;true;2095;0;0;623824400;0;0
1995;getElement;true;1995;0;0;473418700;0;0
1600;getElement;true;1600;0;0;569004100;0;0
1698;getElement;true;1698;0;0;623824300;5;0
1300;getElement;true;1300;0;0;623825000;9;0
1201;getElement;true;1201;0;0;524420900;4;0
1999;getElement;true;1998;0;1;623824800;16;0
1598;getElement;true;1598;0;0;623854300;21;0
2116;getElement;true;2116;0;1;263336100;21;0
1716;getElement;true;1716;0;0;272149900;25;0
2231;getElement;true;2231;0;2;272504700;25;0
1833;getElement;true;1833;0;0;277122800;25;0
2137;getElement;true;2137;0;1;286664700;21;0
1739;getElement;true;1739;0;0;312612700;20;0
1340;getElement;true;1340;0;1;292910700;25;0
2302;getElement;true;2302;0;0;325747600;20;0
1903;getElement;true;1903;0;0;237877700;0;0
1505;getElement;true;1505;0;0;256386000;0;0
2314;getElement;true;2314;0;0;277230100;0;0
1916;getElement;true;1916;0;1;280007900;0;0
1516;getElement;true;1516;0;0;278452200;4;0
1925;getElement;true;1925;0;1;256384100;4;0
984;getElement;true;984;0;0;252681400;4;0
2647;getElement;true;2647;0;1;269864800;4;0
1449;getElement;true;1449;0;0;207454300;0;-22,86
1450;getElement;true;1450;0;0;214630200;0;-22,86
2769;getElement;true;2769;0;1;207555100;0;-12,32
1453;getElement;true;1453;0;0;209188000;0;0
1453;getElement;true;1453;0;0;209736600;0;0
1877;getElement;true;1877;0;0;221346900;0;0
1874;getElement;true;1874;0;0;210990900;0;0
1874;getElement;true;1874;0;0;214874700;0;0
1915;getElement;true;1915;0;0;267932100;0;2,27
1912;getElement;true;1912;0;0;282894500;0;2,27
1911;getElement;true;1911;0;0;282365800;0;2,27
3385;getElement;true;3385;0;1;294136000;0;0
1952;getElement;true;1952;0;0;287742600;0;0
1953;getElement;true;1953;0;0;270192300;0;0
2986;getElement;true;2986;0;0;263794400;0;0
3618;getElement;true;3618;0;1;268404300;0;0
2514;getElement;true;2514;0;0;232489100;0;1,39
2513;getElement;true;2513;0;0;242876300;0;1,39
2512;getElement;true;2512;0;0;239609000;0;1,39
3219;getElement;true;3219;0;1;255320500;0;1,39
2818;getElement;true;2818;0;1;254301400;0;1,39
3784;getElement;true;3784;0;0;268011400;0;0
2669;getElement;true;2669;0;0;265124500;0;0
2669;getElement;true;2669;0;0;255227200;0;0
