elapsed;label;success;Latency;IdleTime;Connect;time;mem;cpu;group
1803;getSampleObjectElements;true;1780;0;1;1034774200;46;0,47;1
1453;getSampleObjectElements;true;1430;0;0;849399800;38;0,47;1
1553;getSampleObjectElements;true;1529;0;1;1034870600;42;0,47;1
1754;getSampleObjectElements;true;1729;0;1;799578900;50;0,47;1
1606;getSampleObjectElements;true;1579;0;1;956086200;50;0,47;1
1954;getSampleObjectElements;true;1926;0;2;912608700;54;0,47;1
1867;getSampleObjectElements;true;1831;0;1;1047927100;54;0,47;1
1666;getSampleObjectElements;true;1629;0;0;1049252300;58;0,47;1
1716;getSampleObjectElements;true;1679;0;1;1014977400;62;0,47;1
1913;getSampleObjectElements;true;1874;0;0;764103500;42;0,47;1
2507;getSampleObjectElements;true;2506;0;1;1390467700;93;-12,55;1
2290;getSampleObjectElements;true;2289;0;1;1140934200;76;-12,55;1
2465;getSampleObjectElements;true;2464;0;0;1292476600;76;-12,55;1
2674;getSampleObjectElements;true;2673;0;0;1493752700;80;-12,55;1
2532;getSampleObjectElements;true;2531;0;1;1343347400;88;-12,55;1
2395;getSampleObjectElements;true;2395;0;0;1195114900;80;-12,55;1
2244;getSampleObjectElements;true;2243;0;0;1009864900;71;-13,02;1
2362;getSampleObjectElements;true;2361;0;1;1114365900;76;-13,02;1
2336;getSampleObjectElements;true;2336;0;1;1065191200;71;-13,02;1
2640;getSampleObjectElements;true;2640;0;0;1242567800;88;-12,55;1
3355;getSampleObjectElements;true;3355;0;1;2045441600;121;-14,08;1
3576;getSampleObjectElements;true;3575;0;0;2050124000;126;-16,4;1
3607;getSampleObjectElements;true;3606;0;1;2027002200;130;-16,4;1
3584;getSampleObjectElements;true;3584;0;0;1982644300;130;-16,4;1
3542;getSampleObjectElements;true;3541;0;1;1939126300;122;-16,4;1
3474;getSampleObjectElements;true;3474;0;1;1852688700;117;-16,4;1
3445;getSampleObjectElements;true;3444;0;0;1846518500;117;-16,4;1
3425;getSampleObjectElements;true;3424;0;0;1813808200;117;-16,4;1
3599;getSampleObjectElements;true;3598;0;0;1986805300;117;-16,4;1
3448;getSampleObjectElements;true;3447;0;0;1899103100;121;-16,4;1
4344;getSampleObjectElements;true;4344;0;1;2861494500;147;-2,76;1
4489;getSampleObjectElements;true;4489;0;1;3080222200;151;-2,76;1
4498;getSampleObjectElements;true;4497;0;0;3110272500;151;-2,76;1
4465;getSampleObjectElements;true;4465;0;0;3087942600;151;-2,76;1
4437;getSampleObjectElements;true;4437;0;0;3042677000;143;-3,01;1
4416;getSampleObjectElements;true;4415;0;1;3028102800;143;-3,01;1
4285;getSampleObjectElements;true;4284;0;1;2901640100;134;-0,71;1
4410;getSampleObjectElements;true;4410;0;1;3028304000;134;-0,71;1
4392;getSampleObjectElements;true;4391;0;0;3006697400;134;-0,71;1
4316;getSampleObjectElements;true;4316;0;0;2950173300;130;-0,71;1
5193;getSampleObjectElements;true;5193;0;0;3892171900;164;2,04;1
5395;getSampleObjectElements;true;5395;0;0;4083560400;176;1,03;1
5459;getSampleObjectElements;true;5459;0;0;4145175500;180;1,03;1
5474;getSampleObjectElements;true;5474;0;0;4159621700;180;1,03;1
5496;getSampleObjectElements;true;5495;0;0;4181930400;180;1,03;1
5511;getSampleObjectElements;true;5510;0;0;4203656700;180;1,03;1
5526;getSampleObjectElements;true;5526;0;0;4219199300;180;1,03;1
5559;getSampleObjectElements;true;5558;0;0;4244203500;180;1,03;1
5571;getSampleObjectElements;true;5570;0;0;4277195900;180;1,03;1
5627;getSampleObjectElements;true;5626;0;0;4303024800;180;1,03;1
6542;getSampleObjectElements;true;6542;0;1;5154864800;222;1,89;1
6673;getSampleObjectElements;true;6673;0;1;5298660000;227;1,89;1
6689;getSampleObjectElements;true;6688;0;1;5319307000;222;-2,58;1
6655;getSampleObjectElements;true;6655;0;1;5278768100;222;-2,58;1
6631;getSampleObjectElements;true;6630;0;1;5251393700;222;-2,58;1
6601;getSampleObjectElements;true;6600;0;1;5229264900;218;-2,58;1
6576;getSampleObjectElements;true;6575;0;1;5194240300;218;-2,58;1
6554;getSampleObjectElements;true;6553;0;0;5176517100;222;-2,58;1
6527;getSampleObjectElements;true;6527;0;1;5139262300;214;-2,58;1
6502;getSampleObjectElements;true;6501;0;0;5135518400;214;-2,58;1
7352;getSampleObjectElements;true;7351;0;0;6040811800;252;-3,66;1
7485;getSampleObjectElements;true;7485;0;1;6173945300;251;-0,36;1
7485;getSampleObjectElements;true;7485;0;1;6189841300;251;-0,36;1
7466;getSampleObjectElements;true;7465;0;1;6158166500;247;-0,36;1
7435;getSampleObjectElements;true;7435;0;1;6130328900;243;-0,36;1
7406;getSampleObjectElements;true;7405;0;0;6102479300;243;-0,36;1
7374;getSampleObjectElements;true;7373;0;0;6073936200;239;-0,36;1
7353;getSampleObjectElements;true;7352;0;1;6057521100;239;-0,36;1
7314;getSampleObjectElements;true;7314;0;0;6031847900;235;-0,36;1
7287;getSampleObjectElements;true;7287;0;0;6006365200;231;1,97;1
7760;getSampleObjectElements;true;7760;0;1;6855176900;231;3,32;1
7774;getSampleObjectElements;true;7773;0;0;6986134300;226;3,32;1
7784;getSampleObjectElements;true;7784;0;0;7031493000;226;2,34;1
7768;getSampleObjectElements;true;7768;0;0;7028635100;226;2,34;1
7770;getSampleObjectElements;true;7769;0;1;7032987100;222;2,34;1
7766;getSampleObjectElements;true;7766;0;0;7043025200;222;2,34;1
7767;getSampleObjectElements;true;7766;0;0;7053531200;222;2,34;1
