elapsed;label;success;Latency;IdleTime;Connect;time;mem;cpu
404;getSampleObjectElements;true;404;0;1;32825399;0;0
356;getSampleObjectElements;true;356;0;1;33058200;0;0
679;getSampleObjectElements;true;679;0;0;198565099;0;0
638;getSampleObjectElements;true;638;0;0;207767100;0;0
608;getSampleObjectElements;true;608;0;1;214105700;0;0
774;getSampleObjectElements;true;774;0;0;221225400;0;0
589;getSampleObjectElements;true;589;0;1;233329400;0;0
553;getSampleObjectElements;true;553;0;1;246738200;0;0
545;getSampleObjectElements;true;545;0;0;262579999;0;0
983;getSampleObjectElements;true;983;0;0;281440501;0;0
878;getSampleObjectElements;true;878;0;0;230903300;0;-2
881;getSampleObjectElements;true;881;0;0;241204200;0;-2
887;getSampleObjectElements;true;887;0;0;248401100;0;0
891;getSampleObjectElements;true;891;0;0;247092700;0;0
896;getSampleObjectElements;true;896;0;0;242599400;0;0
1409;getSampleObjectElements;true;1409;0;0;247910300;0;0
1384;getSampleObjectElements;true;1384;0;0;243924700;0;0
1584;getSampleObjectElements;true;1584;0;0;232582800;0;0
1550;getSampleObjectElements;true;1550;0;1;210281000;0;0,73
1521;getSampleObjectElements;true;1521;0;1;212504400;0;0,73
1321;getSampleObjectElements;true;1321;0;0;209406400;0;0,73
1696;getSampleObjectElements;true;1696;0;0;203125400;0;0,73
1514;getSampleObjectElements;true;1514;0;0;203679501;0;0,73
1482;getSampleObjectElements;true;1482;0;1;206598600;0;0,73
1441;getSampleObjectElements;true;1441;0;1;212260300;0;0,73
1412;getSampleObjectElements;true;1412;0;0;221698800;0;0
1313;getSampleObjectElements;true;1313;0;0;213869500;0;1,19
854;getSampleObjectElements;true;854;0;0;216362100;0;1,19
854;getSampleObjectElements;true;854;0;0;220288599;0;1,19
854;getSampleObjectElements;true;854;0;0;216270400;0;1,19
862;getSampleObjectElements;true;862;0;0;215868600;0;1,19
862;getSampleObjectElements;true;862;0;0;219443499;0;1,19
1289;getSampleObjectElements;true;1289;0;0;215184400;0;1,19
2176;getSampleObjectElements;true;2176;0;1;212170899;0;1,19
880;getSampleObjectElements;true;880;0;0;212734900;0;0
1329;getSampleObjectElements;true;1329;0;0;214907900;0;0
2514;getSampleObjectElements;true;2514;0;0;218365600;0;0
1353;getSampleObjectElements;true;1353;0;0;216508700;0;0
2504;getSampleObjectElements;true;2504;0;0;208085600;0;-1,15
1352;getSampleObjectElements;true;1352;0;0;209740399;0;-1,15
2476;getSampleObjectElements;true;2476;0;1;212748900;0;-1,15
1357;getSampleObjectElements;true;1357;0;0;212171100;0;-1,15
2472;getSampleObjectElements;true;2472;0;0;212639000;0;0
1367;getSampleObjectElements;true;1367;0;0;216389500;0;0
2450;getSampleObjectElements;true;2450;0;1;214465401;0;0
1785;getSampleObjectElements;true;1785;0;0;214474900;0;0
2370;getSampleObjectElements;true;2370;0;0;216854899;0;0
2222;getSampleObjectElements;true;2222;0;0;215201400;0;0
1794;getSampleObjectElements;true;1794;0;0;212633900;0;0
2838;getSampleObjectElements;true;2838;0;1;211857700;0;1,53
3403;getSampleObjectElements;true;3403;0;1;212149300;0;0
2192;getSampleObjectElements;true;2192;0;0;215807000;0;0
