elapsed;label;success;Latency;IdleTime;Connect;time;mem;cpu
1272;getSampleObjectElements;true;1268;0;0;803863700;12;4,08
1895;getSampleObjectElements;true;1894;0;1;1389371300;34;4,08
2201;getSampleObjectElements;true;2201;0;1;1717110200;25;0
2647;getSampleObjectElements;true;2646;0;4;2068389100;25;3,78
2824;getSampleObjectElements;true;2824;0;1;2402825500;25;3,78
3021;getSampleObjectElements;true;3020;0;1;2691026500;29;2,77
3114;getSampleObjectElements;true;3113;0;0;2360210400;17;1,91
3402;getSampleObjectElements;true;3401;0;1;2682219700;17;1,91
3709;getSampleObjectElements;true;3708;0;0;2991834200;17;2,72
4186;getSampleObjectElements;true;4185;0;0;3384512400;17;1,55
4315;getSampleObjectElements;true;4314;0;0;3633120400;17;1,55
4596;getSampleObjectElements;true;4595;0;0;3758702500;13;-2,57
5263;getSampleObjectElements;true;5262;0;1;4382740500;25;1,51
5547;getSampleObjectElements;true;5547;0;0;4693487000;25;4,27
6097;getSampleObjectElements;true;6096;0;1;5751053400;46;4,04
5904;getSampleObjectElements;true;5903;0;1;5070204400;21;-0,04
6200;getSampleObjectElements;true;6199;0;1;5393422800;21;-1,44
6503;getSampleObjectElements;true;6502;0;0;5714136100;21;-2,58
6784;getSampleObjectElements;true;6784;0;1;6064215700;29;-2,58
7050;getSampleObjectElements;true;7050;0;0;6388238300;29;1,18
7334;getSampleObjectElements;true;7333;0;1;6691064400;29;-1,65
7593;getSampleObjectElements;true;7592;0;1;6838111500;25;-1,65
7862;getSampleObjectElements;true;7861;0;0;7083140500;25;0,14
8134;getSampleObjectElements;true;8133;0;1;7375558500;25;0,14
8418;getSampleObjectElements;true;8417;0;0;7685969100;25;-2,32
8688;getSampleObjectElements;true;8688;0;0;8000182700;25;2,32
8952;getSampleObjectElements;true;8951;0;1;8314137800;25;2,32
9204;getSampleObjectElements;true;9203;0;0;8609206700;25;1,45
9466;getSampleObjectElements;true;9466;0;1;8744094400;25;1,45
9725;getSampleObjectElements;true;9725;0;1;8989461000;29;3,4
9855;getSampleObjectElements;true;9854;0;0;9150907500;29;3,4
9828;getSampleObjectElements;true;9827;0;0;9131874700;29;3,4
9846;getSampleObjectElements;true;9845;0;0;9163523100;29;3,4
9841;getSampleObjectElements;true;9841;0;0;9188428000;33;3,4
9826;getSampleObjectElements;true;9825;0;0;9193668800;33;4,44
9797;getSampleObjectElements;true;9797;0;0;9036426500;33;0,66
9866;getSampleObjectElements;true;9866;0;1;9106102700;33;0,66
9894;getSampleObjectElements;true;9893;0;0;9128593500;33;0,66
11563;getSampleObjectElements;true;11562;0;0;11179151600;67;4,44
9900;getSampleObjectElements;true;9899;0;1;9161278600;38;0,66
9884;getSampleObjectElements;true;9884;0;0;9154669300;38;0,66
9903;getSampleObjectElements;true;9902;0;1;9204994400;38;0,66
9882;getSampleObjectElements;true;9881;0;0;9203884100;38;0,66
9967;getSampleObjectElements;true;9967;0;1;9164878100;38;1,62
9983;getSampleObjectElements;true;9983;0;1;9171874100;38;1,62
9970;getSampleObjectElements;true;9969;0;1;9147319400;38;1,62
9924;getSampleObjectElements;true;9924;0;1;9171426900;38;1,62
9894;getSampleObjectElements;true;9893;0;1;9184172900;38;1,62
9969;getSampleObjectElements;true;9968;0;1;9205538000;38;1,62
9884;getSampleObjectElements;true;9884;0;1;9056431900;38;2,63
10053;getSampleObjectElements;true;10052;0;0;9347853900;38;1,62
10003;getSampleObjectElements;true;10003;0;1;9214612300;38;2,63
9984;getSampleObjectElements;true;9984;0;0;9186587600;42;2,63
9952;getSampleObjectElements;true;9951;0;0;9175969200;42;2,63
9978;getSampleObjectElements;true;9977;0;1;9229481700;42;2,63
9936;getSampleObjectElements;true;9936;0;0;9238578800;42;3,03
