elapsed;label;success;Latency;IdleTime;Connect;time;mem;cpu;group
11528;getSampleObject;true;11527;0;0;6659976101;0;2,23;1
13140;getSampleObject;true;13140;0;0;6787243899;8;0,78;1
13148;getSampleObject;true;13148;0;0;6787517999;8;1,21;1
13154;getSampleObject;true;13153;0;0;6785641199;4;4,15;1
13161;getSampleObject;true;13161;0;0;6787243800;4;4,15;1
13141;getSampleObject;true;13141;0;1;6755779099;4;4,15;1
13114;getSampleObject;true;13113;0;0;6710357900;0;4,15;1
13088;getSampleObject;true;13088;0;1;6671111901;0;4,15;1
13069;getSampleObject;true;13068;0;1;6618999299;0;4,56;1
14434;getSampleObject;true;14433;0;1;6785641300;4;1,54;1
16815;getSampleObject;true;16815;0;3;11265301500;0;1,39;1
17202;getSampleObject;true;17202;0;2;12338023801;0;-0,44;1
17080;getSampleObject;true;17080;0;1;12205783999;0;-0,44;1
16892;getSampleObject;true;16892;0;1;12013304799;0;-0,44;1
16762;getSampleObject;true;16762;0;0;11882273600;0;-0,03;1
16225;getSampleObject;true;16224;0;1;11335059000;0;-0,06;1
16041;getSampleObject;true;16040;0;1;11159761400;0;-0,06;1
15818;getSampleObject;true;15818;0;1;11011393200;0;-0,06;1
15094;getSampleObject;true;15093;0;0;10359703200;0;2,94;1
15264;getSampleObject;true;15264;0;2;10759713999;0;7,06;1
17923;getSampleObject;true;17923;0;1;13478536400;0;0,25;1
17782;getSampleObject;true;17781;0;0;13602459200;0;0,85;1
17157;getSampleObject;true;17157;0;0;12983731301;0;0,49;1
16783;getSampleObject;true;16783;0;0;12594810900;0;0,46;1
15878;getSampleObject;true;15877;0;0;11277247300;0;-1,47;1
15431;getSampleObject;true;15430;0;1;11639419700;0;2,68;1
16261;getSampleObject;true;16261;0;1;12001980900;0;-1,71;1
9512;getSampleObject;true;9512;0;1;5420935000;0;3,26;1
10265;getSampleObject;true;10265;0;1;9174872099;0;-0,06;1
10372;getSampleObject;true;10372;0;0;9168728900;0;-0,06;1
10369;getSampleObject;true;10368;0;0;9156558400;0;-0,06;1
10480;getSampleObject;false;10480;0;1;9350062300;0;0,36;1
12715;getSampleObject;true;12715;0;1;9915886300;0;-1,04;1
12759;getSampleObject;false;12759;0;1;9926420299;0;-1,04;1
12803;getSampleObject;true;12802;0;1;9935311800;0;-1,04;1
12192;getSampleObject;true;12192;0;0;9204819500;0;-5,17;1
12190;getSampleObject;true;12190;0;0;9198707300;0;-5,17;1
8821;getSampleObject;true;8821;0;1;5950161500;0;0,61;1
8794;getSampleObject;true;8794;0;1;5937913400;0;0,61;1
9791;getSampleObject;true;9791;0;1;8357349100;0;53,44;1
9822;getSampleObject;false;9822;0;1;8593030400;0;53,44;1
9876;getSampleObject;false;9876;0;1;8349505000;0;2;1
9892;getSampleObject;true;9892;0;1;9113748701;0;2;1
9905;getSampleObject;true;9905;0;1;9124493500;0;2;1
9922;getSampleObject;true;9922;0;0;9127714500;0;2;1
10433;getSampleObject;true;10433;0;1;9709222100;0;0,31;1
10425;getSampleObject;true;10425;0;1;9754620801;0;0,31;1
10425;getSampleObject;true;10425;0;0;9759268700;0;0,31;1
10434;getSampleObject;true;10434;0;0;9756889100;0;0,31;1
10428;getSampleObject;true;10428;0;1;9748502701;0;0,31;1
10408;getSampleObject;false;10408;0;0;9670662200;0;0,31;1
10845;getSampleObject;true;10844;0;1;10136060500;0;-1,03;1
10864;getSampleObject;true;10863;0;1;10155074099;0;-1,03;1
10888;getSampleObject;true;10887;0;0;10167145799;0;-1,03;1
10899;getSampleObject;true;10898;0;1;10175495200;0;-1,03;1
10893;getSampleObject;true;10893;0;0;10172150399;0;-1,03;1
10897;getSampleObject;false;10897;0;1;10165767600;0;-1,03;1
10921;getSampleObject;true;10921;0;0;10191417101;0;-1,03;1
10949;getSampleObject;true;10949;0;1;10228501300;0;-1,03;1
10950;getSampleObject;false;10950;0;1;10244906900;0;-1,03;1
10987;getSampleObject;false;10987;0;1;10304357600;0;-1,03;1
11444;getSampleObject;false;11444;0;1;10747912200;0;-0,4;1
11463;getSampleObject;true;11463;0;1;10760068199;0;-0,4;1
11487;getSampleObject;true;11487;0;1;10794074700;0;-2,38;1
11493;getSampleObject;true;11493;0;0;10784366900;4;-2,38;1
11511;getSampleObject;true;11511;0;1;10794981201;4;-2,38;1
11511;getSampleObject;true;11511;0;1;10801894301;4;-2,38;1
11535;getSampleObject;true;11535;0;1;10825558501;4;-2,38;1
11564;getSampleObject;true;11564;0;1;10845403100;4;-2,38;1
11577;getSampleObject;false;11577;0;0;10861812001;4;-2,38;1
11636;getSampleObject;true;11635;0;1;10897008400;4;-2,38;1
12119;getSampleObject;true;12119;0;0;11353024100;4;-2,3;1
12140;getSampleObject;true;12140;0;0;11375169800;4;-2,3;1
12144;getSampleObject;true;12143;0;1;11396517200;4;-2,3;1
12170;getSampleObject;true;12170;0;0;11405574000;4;-2,3;1
12184;getSampleObject;true;12183;0;0;11424543800;4;-2,3;1
12219;getSampleObject;true;12219;0;0;11421218000;4;-2,3;1
12231;getSampleObject;true;12231;0;0;11444298899;4;-2,3;1
12241;getSampleObject;true;12241;0;1;11480102600;4;-2,3;1
12046;getSampleObject;true;12046;0;0;11192557299;4;-2,3;1
12489;getSampleObject;true;12489;0;0;11663743700;4;-2,79;1
9632;getSampleObject;true;9632;0;1;8810337699;4;0,05;1
9654;getSampleObject;true;9654;0;0;8828345000;4;0,05;1
9654;getSampleObject;true;9653;0;0;8841008600;4;0,05;1
9674;getSampleObject;true;9673;0;0;8877357500;4;0,05;1
9689;getSampleObject;true;9688;0;0;8886689000;4;0,05;1
9691;getSampleObject;true;9691;0;0;8898467101;4;0,05;1
9916;getSampleObject;false;9916;0;1;9216416100;4;0,83;1
9636;getSampleObject;true;9635;0;1;8935837999;4;0,42;1
9680;getSampleObject;true;9680;0;1;8974046099;4;0,42;1
8947;getSampleObject;true;8947;0;0;8251086700;4;-6,21;1
9484;getSampleObject;false;9484;0;1;8790740901;4;-0,6;1
9497;getSampleObject;true;9496;0;1;8798300900;4;-0,6;1
9529;getSampleObject;true;9529;0;0;8834251899;4;-0,6;1
9646;getSampleObject;true;9646;0;1;8895846701;4;-0,6;1
10016;getSampleObject;true;10016;0;1;9361461501;4;-0,61;1
10120;getSampleObject;true;10119;0;0;9344461300;4;-0,61;1
10122;getSampleObject;true;10121;0;1;9343820600;4;-0,61;1
10163;getSampleObject;true;10163;0;1;9549637700;4;-0,61;1
10255;getSampleObject;true;10255;0;1;9437291200;4;-0,61;1
10318;getSampleObject;true;10318;0;1;9354588500;4;-0,61;1
10342;getSampleObject;true;10342;0;1;9355978300;4;-0,61;1
10343;getSampleObject;false;10343;0;1;9367553000;4;-0,61;1
10836;getSampleObject;true;10835;0;1;9982992001;4;-1,16;1
10824;getSampleObject;false;10824;0;0;9991515700;4;-1,16;1
10888;getSampleObject;true;10887;0;1;9935502099;4;-1,16;1
10863;getSampleObject;true;10863;0;0;9985707800;4;-1,16;1
10932;getSampleObject;true;10932;0;1;10086989299;4;-1,89;1
10953;getSampleObject;false;10953;0;0;10091703899;4;-2,16;1
11052;getSampleObject;true;11052;0;1;10199083600;4;-2,16;1
11064;getSampleObject;true;11063;0;1;10191280800;4;-2,16;1
