elapsed;label;success;Latency;IdleTime;Connect;time;mem;cpu
1938;getSampleObject;true;1938;0;1;573904400;5;0
1541;getSampleObject;true;1541;0;1;522854700;5;0
1139;getSampleObject;true;1139;0;1;606590600;5;0
2056;getSampleObject;true;2056;0;1;475026100;5;0
1655;getSampleObject;true;1655;0;0;606537800;5;0
2020;getSampleObject;true;2020;0;1;606573100;5;0
1621;getSampleObject;true;1621;0;1;606572300;5;0
1953;getSampleObject;true;1953;0;0;606574400;5;0
1555;getSampleObject;true;1555;0;1;213037100;21;0
2175;getSampleObject;true;2175;0;2;227679100;21;0
1779;getSampleObject;true;1779;0;0;238020400;21;0
1935;getSampleObject;true;1935;0;0;248399000;21;0
1536;getSampleObject;true;1536;0;0;273631300;21;0
1898;getSampleObject;true;1898;0;1;288535100;21;0
1498;getSampleObject;true;1498;0;0;304391800;21;0
2312;getSampleObject;true;2312;0;0;321969400;16;0
1913;getSampleObject;true;1913;0;1;277893200;4;0
1511;getSampleObject;true;1511;0;0;270710600;4;0
2439;getSampleObject;true;2439;0;1;265944500;4;0
1287;getSampleObject;true;1287;0;0;277201300;4;0
1287;getSampleObject;true;1287;0;0;278964000;0;0
2440;getSampleObject;true;2440;0;1;257308900;0;0
1306;getSampleObject;true;1306;0;0;256881800;0;0
1306;getSampleObject;true;1306;0;0;263069900;0;0
2402;getSampleObject;true;2402;0;0;207314200;0;-8,01
1307;getSampleObject;true;1307;0;0;216998800;0;-8,01
1306;getSampleObject;true;1306;0;0;220295000;0;-8,01
1968;getSampleObject;true;1968;0;1;214834600;0;0
862;getSampleObject;true;862;0;0;206008400;0;0
1704;getSampleObject;true;1704;0;0;216198600;0;0
1701;getSampleObject;true;1701;0;0;213880000;0;0
1701;getSampleObject;true;1701;0;0;227849300;0;0
2964;getSampleObject;true;2964;0;0;218914300;0;-9,44
1710;getSampleObject;true;1710;0;0;218348800;0;-9,44
1710;getSampleObject;true;1710;0;0;214438100;0;-9,44
2565;getSampleObject;true;2565;0;1;211660400;0;-9,44
2164;getSampleObject;true;2164;0;0;215590100;0;-9,44
2938;getSampleObject;true;2938;0;0;210454600;0;-9,44
1721;getSampleObject;true;1721;0;0;209274500;0;-9,44
1720;getSampleObject;true;1720;0;0;207487500;0;0
2539;getSampleObject;true;2539;0;1;216499500;0;-0,78
