elapsed;label;success;Latency;IdleTime;Connect;time;mem;cpu
728;getSampleObject;true;725;0;0;383116100;17;0
936;getSampleObject;true;936;0;0;684038200;13;2,35
1177;getSampleObject;true;1176;0;0;888227100;17;2,35
1433;getSampleObject;true;1432;0;0;1190204700;17;1,05
1728;getSampleObject;true;1728;0;0;1475765300;21;1,05
1954;getSampleObject;false;1954;0;0;1698284300;17;-1,17
1816;getSampleObject;true;1815;0;0;1554871200;4;-1,17
1580;getSampleObject;true;1579;0;0;1313071700;0;-2,38
1493;getSampleObject;true;1492;0;0;1240988000;0;-1,08
1741;getSampleObject;true;1740;0;0;1469555300;0;-0,92
1961;getSampleObject;true;1960;0;0;1709252800;4;-0,92
2144;getSampleObject;true;2143;0;0;1921181500;4;0,33
2069;getSampleObject;false;2069;0;0;2153479700;4;0,33
2291;getSampleObject;true;2290;0;0;2144075700;4;6,98
2949;getSampleObject;true;2948;0;0;1888298000;4;5,84
2347;getSampleObject;true;2346;0;0;1795077000;4;0,96
2368;getSampleObject;true;2367;0;0;2036333600;4;0,96
2508;getSampleObject;false;2508;0;0;2285163500;4;-1,37
2740;getSampleObject;true;2739;0;0;2510899800;4;-1,37
2928;getSampleObject;false;2928;0;0;2701127300;8;0,22
3131;getSampleObject;true;3131;0;0;2108924400;4;-1,03
2518;getSampleObject;false;2518;0;0;2104422100;4;-4,93
2572;getSampleObject;true;2571;0;0;2242798200;4;-4,93
2714;getSampleObject;true;2714;0;0;2485128900;4;-0,25
2919;getSampleObject;true;2919;0;0;2692607000;4;-0,25
3145;getSampleObject;true;3145;0;0;2889917000;4;-1,43
2126;getSampleObject;true;2125;0;0;2269237000;4;5,62
2776;getSampleObject;false;2776;0;0;2317775600;4;1,61
3850;getSampleObject;true;3850;0;0;2461083100;4;1,61
2948;getSampleObject;true;2947;0;0;2658693600;13;1,97
3085;getSampleObject;true;3084;0;0;2891597000;13;1,97
2502;getSampleObject;true;2502;0;0;1893928200;9;-5,15
3565;getSampleObject;true;3564;0;0;2525175200;13;-0,47
2702;getSampleObject;true;2701;0;0;3605522900;17;0,79
2947;getSampleObject;true;2947;0;0;2715637000;13;-4,42
3182;getSampleObject;true;3182;0;0;2847954400;13;-5,97
1903;getSampleObject;true;1902;0;0;2247666400;13;-0,79
3691;getSampleObject;true;3690;0;0;3320348600;13;-0,15
3121;getSampleObject;false;3121;0;0;2446134000;13;5,04
3208;getSampleObject;true;3208;0;0;2710160800;13;1,4
3338;getSampleObject;true;3338;0;0;2921025700;13;1,4
3526;getSampleObject;true;3526;0;0;1644216700;4;2,89
3744;getSampleObject;true;3743;0;0;3431909600;8;0,17
3445;getSampleObject;false;3445;0;0;2851321200;8;1,15
3484;getSampleObject;true;3484;0;0;2956971900;12;0,42
3635;getSampleObject;true;3634;0;0;3063710100;12;5,7
3809;getSampleObject;true;3809;0;0;3279941800;12;5,7
4050;getSampleObject;true;4050;0;0;3508133600;12;-0,92
4263;getSampleObject;false;4263;0;0;3192267900;12;-3,54
3942;getSampleObject;true;3941;0;0;3261154600;12;-3,54
4352;getSampleObject;true;4352;0;0;3379811000;12;-3
4401;getSampleObject;true;4401;0;0;3554668600;8;-3
4518;getSampleObject;true;4518;0;0;3792145800;8;-4,74
4673;getSampleObject;true;4673;0;0;4016607200;8;-4,74
4877;getSampleObject;true;4877;0;0;3688456300;8;-0,98
5121;getSampleObject;true;5121;0;0;4107783000;8;-2,51
4663;getSampleObject;true;4662;0;0;4157458000;4;-2,51
4744;getSampleObject;true;4744;0;0;4284893000;9;0,64
4865;getSampleObject;false;4865;0;0;4445372100;9;0,64
5007;getSampleObject;false;5007;0;0;4640653400;9;-0,99
5172;getSampleObject;false;5172;0;0;4887011600;5;-2,06
5323;getSampleObject;true;5323;0;0;4437047000;5;-0,72
5443;getSampleObject;true;5442;0;0;4502055300;5;-0,28
5062;getSampleObject;true;5062;0;0;4644103400;5;-0,28
5227;getSampleObject;true;5227;0;0;4785401600;5;-0,28
5413;getSampleObject;true;5412;0;0;4967159300;5;0,88
5548;getSampleObject;true;5548;0;0;5101608700;5;0,88
6034;getSampleObject;true;6034;0;0;5206532300;5;-1,48
6137;getSampleObject;true;6137;0;0;4829871900;5;-2,23
5996;getSampleObject;true;5996;0;0;5006106400;5;-2,23
5650;getSampleObject;true;5649;0;0;5177126800;5;-0,49
6044;getSampleObject;true;6043;0;0;5313018700;5;0,34
6224;getSampleObject;true;6223;0;0;5806090300;5;-0,34
6316;getSampleObject;true;6316;0;0;5922952800;5;-0,34
6400;getSampleObject;true;6399;0;0;5772637700;5;-0,37
6460;getSampleObject;true;6459;0;0;5427227000;5;0,45
6206;getSampleObject;true;6206;0;0;5822549900;5;0,32
6651;getSampleObject;true;6650;0;0;5977661300;5;0,32
6750;getSampleObject;true;6749;0;0;6087270800;5;0,34
6890;getSampleObject;true;6890;0;0;6153364900;0;0,34
7124;getSampleObject;true;7124;0;0;6214675100;4;-2,72
20947;getSampleObject;true;20947;0;0;5954870100;4;-1,08
7484;getSampleObject;false;7484;0;0;6430074900;4;0,17
7535;getSampleObject;true;7535;0;0;6503986900;4;0
7472;getSampleObject;true;7471;0;0;6632149100;4;0
7559;getSampleObject;true;7559;0;0;6855386900;4;-0,74
7944;getSampleObject;true;7944;0;0;20690382300;42;-0,3
8093;getSampleObject;true;8092;0;0;7246600300;8;0,86
8285;getSampleObject;false;8285;0;0;7303762300;8;0,86
8178;getSampleObject;true;8178;0;0;7240404500;8;0,29
8381;getSampleObject;true;8381;0;0;7333117300;8;0,29
