elapsed;label;success;Latency;IdleTime;Connect;time;mem;cpu
1833;setElement;true;1833;0;0;167577300;0;0
1839;setElement;true;1839;0;0;168930700;4;0
1845;setElement;true;1845;0;0;171324400;4;0
1793;setElement;true;1793;0;0;176197300;4;0
2206;setElement;true;2206;0;0;174872400;4;0
2238;setElement;true;2238;0;0;175983900;0;-25,17
2710;setElement;true;2710;0;0;169013200;0;-25,17
2231;setElement;true;2231;0;0;182187500;0;0
2581;setElement;true;2581;0;0;176177500;0;-0,35
2589;setElement;true;2589;0;0;175626200;0;0
5594;setElement;true;5594;0;0;177780400;0;0
3405;setElement;true;3405;0;0;179938600;0;0
3390;setElement;true;3390;0;0;177378600;0;0
3390;setElement;true;3390;0;0;173610600;0;-3,06
3405;setElement;true;3405;0;0;182543400;0;-3,06
3405;setElement;true;3405;0;0;177276200;5;0
3373;setElement;true;3373;0;0;178962700;0;0
3367;setElement;true;3367;0;0;176839200;0;0
3727;setElement;true;3727;0;0;176373600;0;0,67
3727;setElement;true;3727;0;0;172131500;0;0,67
3706;setElement;true;3706;0;0;172094800;0;0,67
3705;setElement;true;3705;0;0;183664800;0;0
4386;setElement;true;4386;0;0;184584700;0;0
4385;setElement;true;4385;0;0;181152300;0;0
3551;setElement;true;3551;0;0;167871600;0;0
3861;setElement;true;3861;0;0;176442800;0;0
3861;setElement;true;3861;0;0;169800800;0;0
3923;setElement;true;3923;0;0;178028300;0;0
3923;setElement;true;3923;0;0;180436500;0;-1,57
3569;setElement;true;3569;0;0;179111600;0;-1,57
3896;setElement;true;3896;0;0;168991000;0;-1,57
3896;setElement;true;3896;0;0;173407000;0;0
4916;setElement;true;4916;0;0;199764800;4;0
4915;setElement;true;4915;0;0;191544900;4;0
4915;setElement;true;4915;0;0;180085500;0;0
4921;setElement;true;4921;0;0;177006200;0;0
4921;setElement;true;4921;0;0;168938800;0;-1,93
4920;setElement;true;4920;0;0;168914400;0;-1,93
4986;setElement;true;4986;0;0;167043400;0;-1,93
4986;setElement;true;4986;0;0;168972300;0;0
4986;setElement;true;4986;0;0;169377500;0;0
8272;setElement;true;8272;0;0;169685800;0;0
4724;setElement;true;4724;0;0;172960100;0;0
4723;setElement;true;4723;0;0;165380600;0;-1,07
4723;setElement;true;4723;0;0;167271900;0;-1,07
4727;setElement;true;4727;0;0;172037800;0;0
4727;setElement;true;4727;0;0;176166600;0;0
4727;setElement;true;4727;0;0;173089200;0;0
4452;setElement;true;4452;0;0;183506500;0;0
4452;setElement;true;4452;0;0;177109100;0;0,74
4779;setElement;true;4779;0;0;168646600;0;0,74
