elapsed;label;success;Latency;IdleTime;Connect;time;mem;cpu
12310;setElement;true;12310;0;0;4690407800;16;-2,09
14041;setElement;true;14041;0;0;5737814100;12;-0,35
13994;setElement;true;13993;0;0;5447905500;12;1,2
15169;setElement;true;15169;0;0;5975608000;13;-1,2
16964;setElement;true;16964;0;0;6834524400;9;-1,16
17862;setElement;true;17862;0;0;6934767100;5;0,79
18707;setElement;true;18706;0;0;7460852800;5;-1,46
20141;setElement;true;20141;0;0;8067389900;9;0,06
21858;setElement;true;21858;0;0;9012861600;13;0,39
22273;setElement;true;22273;0;0;8653660800;8;1,24
23633;setElement;true;23633;0;0;9782290100;12;1,24
28825;setElement;true;28825;0;0;12373350300;16;-1,24
29013;setElement;true;29013;0;0;12054953800;21;0,31
31096;setElement;true;31095;0;0;13262969700;21;0,43
34063;setElement;true;34062;0;0;14304974900;29;-3,45
34061;setElement;true;34061;0;0;13803169700;29;-2,75
34949;setElement;true;34949;0;0;14119360600;34;0,7
4873;setElement;true;4873;0;0;2070811500;13;-0,3
35625;setElement;true;35625;0;0;14183466300;34;1,51
35390;setElement;true;35390;0;0;13596882200;34;-0,69
35556;setElement;true;35556;0;0;12896859900;34;0,05
35549;setElement;true;35548;0;0;12599690800;34;-9
35463;setElement;true;35462;0;0;11871565000;34;2,21
35370;setElement;true;35370;0;0;11292946600;34;1,65
35332;setElement;true;35332;0;0;10736950000;34;1,41
34689;setElement;true;34689;0;0;10093988900;34;2,19
35241;setElement;true;35241;0;0;10234484100;34;3,39
35070;setElement;true;35069;0;0;10259060400;34;3,39
34602;setElement;true;34601;0;0;10151553000;34;3,39
34436;setElement;true;34436;0;0;10136240300;34;3,39
34270;setElement;true;34270;0;0;10178906500;34;3,39
34103;setElement;true;34102;0;0;10231577500;34;1,94
33870;setElement;true;33869;0;0;10239428600;34;1,94
33710;setElement;true;33710;0;0;10249013500;29;1,94
33513;setElement;true;33513;0;0;10267621900;29;1,2
33285;setElement;true;33285;0;0;10289964400;29;1,2
33042;setElement;true;33042;0;0;10299643200;29;1,2
32852;setElement;true;32852;0;0;10340159400;29;1,2
32656;setElement;true;32655;0;0;10394742400;29;1,2
32203;setElement;true;32202;0;0;10324637900;25;1,2
32461;setElement;true;32461;0;0;10365834200;29;1,2
32043;setElement;true;32042;0;0;10379250200;25;1,2
31855;setElement;true;31855;0;0;10410236100;25;1,2
31697;setElement;true;31697;0;0;10471599000;25;1,94
31185;setElement;true;31185;0;0;10341769200;25;2,26
31058;setElement;true;31058;0;0;10419825800;25;2,26
30862;setElement;true;30862;0;0;10449330500;25;2,26
30415;setElement;true;30415;0;0;10480549800;25;2,26
30702;setElement;true;30702;0;0;10522693800;29;2,26
30360;setElement;true;30360;0;0;10618069500;29;2,26
30163;setElement;true;30162;0;0;10596838100;29;13,96
29490;setElement;true;29490;0;0;10516762000;29;13,96
28630;setElement;true;28630;0;0;10404302200;29;14,39
28923;setElement;true;28923;0;0;10548537900;29;14,39
29221;setElement;true;29221;0;0;10630880600;29;14,39
29481;setElement;true;29481;0;0;10742654700;29;13,96
28398;setElement;true;28397;0;0;10598605700;29;14,39
28242;setElement;true;28241;0;0;10580288500;29;14,39
27612;setElement;true;27612;0;0;10562608600;29;3,97
28081;setElement;true;28081;0;0;10663195400;29;3,97
27940;setElement;true;27939;0;0;10672640200;29;3,97
27575;setElement;true;27575;0;0;10666183900;29;3,97
27188;setElement;true;27188;0;0;10635828600;29;3,97
27445;setElement;true;27445;0;0;10674869100;29;3,97
26830;setElement;true;26830;0;0;10655629900;29;3,61
26675;setElement;true;26674;0;0;10710666200;29;3,61
26495;setElement;true;26495;0;0;10715178800;29;3,61
25829;setElement;true;25829;0;0;10607265000;29;3,61
26359;setElement;true;26358;0;0;10792101100;29;1,29
25785;setElement;true;25785;0;0;10733477700;29;1,29
25626;setElement;true;25625;0;0;10752200600;29;1,29
25414;setElement;true;25414;0;0;10734855300;29;1,29
25059;setElement;true;25059;0;0;10690095700;29;1,29
24890;setElement;true;24889;0;0;10735883900;29;0,34
