elapsed;label;success;Latency;IdleTime;Connect;time;mem;cpu;group
2687;setSampleObject;true;2675;0;0;1068735500;54;-0,06;1
2729;setSampleObject;true;2717;0;1;1202017400;71;-0,06;1
2437;setSampleObject;true;2425;0;1;1201869000;67;-0,06;1
2886;setSampleObject;true;2874;0;2;1201830700;67;-0,06;1
2637;setSampleObject;true;2624;0;1;1118300300;54;-0,06;1
2588;setSampleObject;true;2575;0;1;1201830600;67;-0,06;1
2388;setSampleObject;true;2374;0;0;1201869900;67;-0,06;1
2489;setSampleObject;true;2475;0;1;1204342100;54;-0,06;1
2540;setSampleObject;true;2524;0;1;1167039400;54;-0,06;1
2782;setSampleObject;true;2766;0;0;1042469000;54;-0,06;1
3132;setSampleObject;true;3131;0;0;1279961300;80;-0,73;1
4197;setSampleObject;true;4197;0;0;2330209000;143;-0,79;1
4133;setSampleObject;true;4133;0;1;2186007100;139;-0,79;1
4112;setSampleObject;true;4111;0;1;2139840000;139;-0,79;1
3968;setSampleObject;true;3968;0;0;1987564600;130;-5,16;1
4819;setSampleObject;true;4819;0;1;2572838100;143;-0,79;1
4246;setSampleObject;true;4245;0;1;2239339500;143;-0,79;1
3951;setSampleObject;true;3950;0;0;1936878000;126;-5,16;1
4056;setSampleObject;true;4056;0;0;2039154200;134;-0,79;1
4335;setSampleObject;true;4334;0;0;2289462200;143;-0,79;1
6184;setSampleObject;true;6183;0;1;3732169000;218;-5,18;1
6153;setSampleObject;true;6153;0;1;3699085000;222;-5,18;1
6173;setSampleObject;true;6173;0;1;3734443600;214;-5,18;1
6162;setSampleObject;true;6162;0;0;3711643400;219;-5,08;1
6132;setSampleObject;true;6132;0;1;3670588600;214;-5,08;1
6111;setSampleObject;true;6111;0;0;3632961800;214;-0,65;1
6084;setSampleObject;true;6084;0;0;3595075000;214;-0,65;1
6073;setSampleObject;true;6073;0;1;3553161900;210;-0,65;1
6054;setSampleObject;true;6053;0;0;3507658300;214;-0,65;1
6030;setSampleObject;true;6030;0;1;3479384200;214;-0,65;1
8475;setSampleObject;true;8474;0;1;5676946000;315;-0,09;1
8467;setSampleObject;true;8467;0;1;5653429200;311;-0,09;1
9257;setSampleObject;true;9256;0;0;6472448000;352;-0,16;1
8443;setSampleObject;true;8442;0;0;5658675600;302;-0,09;1
8414;setSampleObject;true;8414;0;0;5630681400;302;-0,09;1
8394;setSampleObject;true;8394;0;1;5610905200;298;-0,09;1
8374;setSampleObject;true;8374;0;1;5585380400;298;-0,09;1
8358;setSampleObject;true;8358;0;1;5571446500;298;-2,96;1
8337;setSampleObject;true;8337;0;0;5554505500;285;-2,96;1
8319;setSampleObject;true;8318;0;0;5531176300;281;-2,96;1
9647;setSampleObject;true;9646;0;1;7975018900;281;-2,85;1
9607;setSampleObject;true;9606;0;1;7965468200;273;-1,87;1
9565;setSampleObject;true;9564;0;0;7954304400;273;-1,87;1
9525;setSampleObject;true;9525;0;1;7944193100;269;-1,87;1
9485;setSampleObject;true;9484;0;1;7914773200;264;-1,87;1
9445;setSampleObject;true;9444;0;1;7894224900;260;-1,87;1
9403;setSampleObject;true;9402;0;0;7872590700;260;-1,87;1
9362;setSampleObject;true;9362;0;0;7856104400;260;-1,87;1
9322;setSampleObject;true;9322;0;1;7836842700;252;-1,87;1
9280;setSampleObject;true;9280;0;1;7818983400;252;1,48;1
9883;setSampleObject;true;9883;0;0;9147986200;248;2,78;1
9848;setSampleObject;true;9847;0;0;9104527700;243;2,78;1
9811;setSampleObject;true;9811;0;0;9064983500;239;2,78;1
9770;setSampleObject;true;9769;0;1;9025047100;239;2,78;1
9726;setSampleObject;true;9726;0;1;8983767000;227;2,05;1
9686;setSampleObject;true;9685;0;1;8944943500;227;2,05;1
9644;setSampleObject;true;9643;0;1;8903113500;227;2,05;1
9602;setSampleObject;true;9601;0;1;8861508000;222;2,05;1
9578;setSampleObject;true;9578;0;0;8837247600;222;2,05;1
9609;setSampleObject;true;9609;0;0;8845647500;222;2,05;1
10251;setSampleObject;true;10251;0;0;9499709900;222;0,68;1
10263;setSampleObject;true;10263;0;0;9513124700;222;0,68;1
10278;setSampleObject;true;10278;0;0;9525156100;222;0,68;1
10287;setSampleObject;true;10287;0;0;9533030600;222;0,68;1
10294;setSampleObject;true;10294;0;0;9539993800;222;0,68;1
10307;setSampleObject;true;10306;0;0;9547089500;222;0,68;1
10315;setSampleObject;true;10315;0;0;9553786700;214;0,68;1
10322;setSampleObject;true;10321;0;0;9561284700;214;0,68;1
10326;setSampleObject;true;10326;0;1;9564722600;214;0,68;1
10321;setSampleObject;true;10320;0;1;9545483300;214;0,68;1
10826;setSampleObject;true;10826;0;1;10136731500;214;0,33;1
10790;setSampleObject;true;10790;0;0;10099172000;210;0,33;1
10742;setSampleObject;true;10742;0;0;10053402200;210;0,33;1
10705;setSampleObject;true;10705;0;0;10014319900;206;-1,34;1
10670;setSampleObject;true;10669;0;1;9978928400;201;-1,34;1
10635;setSampleObject;true;10635;0;1;9944848700;197;-1,34;1
10596;setSampleObject;true;10595;0;1;9904040500;193;-1,34;1
10556;setSampleObject;true;10555;0;1;9862764500;193;-1,34;1
10534;setSampleObject;true;10534;0;1;9827311000;193;-1,34;1
10524;setSampleObject;true;10524;0;0;9821479700;189;-1,34;1
11084;setSampleObject;true;11084;0;0;10325372300;185;-0,68;1
11052;setSampleObject;true;11052;0;0;10290849300;181;-0,68;1
11015;setSampleObject;true;11015;0;1;10254987200;181;-0,68;1
10977;setSampleObject;true;10976;0;1;10216661100;181;-0,68;1
10936;setSampleObject;true;10935;0;0;10177548000;176;-0,68;1
10894;setSampleObject;true;10894;0;0;10135968200;176;-0,68;1
10852;setSampleObject;true;10852;0;1;10097170600;168;-0,68;1
10814;setSampleObject;true;10813;0;0;10057059300;168;-0,68;1
10783;setSampleObject;true;10783;0;0;10035375300;164;-0,68;1
10777;setSampleObject;true;10777;0;0;10024595200;164;0,13;1
11310;setSampleObject;true;11310;0;1;10584799200;160;-0,61;1
11279;setSampleObject;true;11278;0;0;10553655800;151;-0,61;1
11241;setSampleObject;true;11241;0;0;10515150500;151;-0,61;1
11206;setSampleObject;true;11205;0;1;10477802700;151;-0,61;1
11163;setSampleObject;true;11163;0;0;10435982100;147;-0,61;1
11121;setSampleObject;true;11121;0;0;10394192900;147;-0,61;1
11077;setSampleObject;true;11076;0;0;10347558800;139;-1,38;1
11043;setSampleObject;true;11042;0;0;10314523700;139;-1,38;1
11011;setSampleObject;true;11011;0;1;10282630100;139;-1,38;1
11014;setSampleObject;true;11014;0;0;10276915700;134;-1,38;1
11500;setSampleObject;true;11500;0;1;10810531100;134;-1,34;1
11468;setSampleObject;true;11467;0;0;10779218800;134;-1,34;1
11426;setSampleObject;true;11426;0;1;10740036500;126;-1,34;1
11387;setSampleObject;true;11386;0;1;10701500800;122;-1,34;1
11350;setSampleObject;true;11349;0;1;10662143500;122;-1,34;1
11325;setSampleObject;true;11324;0;0;10639734000;122;-1,34;1
11318;setSampleObject;true;11318;0;0;10632333400;122;-1,34;1
11327;setSampleObject;true;11327;0;0;10641650300;118;-1,34;1
11301;setSampleObject;true;11301;0;2;10608248600;118;-1,34;1
11331;setSampleObject;true;11330;0;0;10631973200;118;-1,34;1
11920;setSampleObject;true;11919;0;1;11149626100;118;0,26;1
11922;setSampleObject;true;11921;0;0;11160410100;118;0,26;1
11930;setSampleObject;true;11929;0;0;11159329600;113;0,26;1
11932;setSampleObject;true;11931;0;0;11159344900;113;0,26;1
11931;setSampleObject;true;11930;0;0;11156911400;109;0,26;1
11935;setSampleObject;true;11935;0;0;11156517600;109;0,26;1
11943;setSampleObject;true;11942;0;3;11162386900;109;0,26;1
11951;setSampleObject;true;11951;0;0;11172739200;109;0,26;1
11971;setSampleObject;true;11970;0;0;11170955800;105;0,26;1
12022;setSampleObject;true;12022;0;0;11212989800;105;0,26;1
12569;setSampleObject;true;12569;0;0;11770111300;105;2,86;1
12540;setSampleObject;true;12539;0;1;11733583400;101;2,86;1
12506;setSampleObject;true;12506;0;0;11698838700;101;2,86;1
12465;setSampleObject;true;12464;0;1;11663470000;97;2,86;1
12431;setSampleObject;true;12430;0;0;11626531400;97;2,86;1
12389;setSampleObject;true;12388;0;0;11590099600;92;4,76;1
12346;setSampleObject;true;12346;0;0;11543381200;88;4,76;1
12321;setSampleObject;true;12320;0;1;11508924500;88;4,76;1
12304;setSampleObject;true;12304;0;1;11506509100;84;4,76;1
12305;setSampleObject;true;12305;0;0;11526969500;80;4,76;1
12775;setSampleObject;true;12775;0;1;12072225300;80;1,82;1
12743;setSampleObject;true;12743;0;1;12040718900;76;1,82;1
12706;setSampleObject;true;12706;0;1;12005732600;76;1,82;1
12664;setSampleObject;true;12664;0;0;11963804000;76;1,82;1
12626;setSampleObject;true;12625;0;0;11928801000;67;-0,19;1
12586;setSampleObject;true;12585;0;0;11886438100;67;-0,19;1
12548;setSampleObject;true;12548;0;0;11845910600;63;-0,19;1
12519;setSampleObject;true;12518;0;0;11819385400;63;-0,19;1
12498;setSampleObject;true;12498;0;1;11800835900;59;-0,19;1
12513;setSampleObject;true;12513;0;0;11804090900;59;-0,19;1
12957;setSampleObject;true;12957;0;1;12272576200;55;0,17;1
12925;setSampleObject;true;12925;0;1;12239725300;55;0,17;1
12887;setSampleObject;true;12886;0;0;12204221100;50;0,17;1
12851;setSampleObject;true;12851;0;0;12164951300;46;1,4;1
12812;setSampleObject;true;12812;0;1;12125717200;46;1,4;1
12773;setSampleObject;true;12773;0;0;12087392500;46;1,4;1
12736;setSampleObject;true;12736;0;1;12048766100;42;1,4;1
12706;setSampleObject;true;12706;0;1;12018428600;38;1,4;1
12694;setSampleObject;true;12694;0;1;11999859800;38;1,4;1
12718;setSampleObject;true;12718;0;0;12014490300;34;1,4;1
13143;setSampleObject;true;13142;0;1;12459732000;34;1,41;1
13109;setSampleObject;true;13109;0;1;12428116200;30;1,41;1
13070;setSampleObject;true;13070;0;0;12389439500;30;1,41;1
13031;setSampleObject;true;13031;0;1;12351613800;25;-0,07;1
12990;setSampleObject;true;12990;0;0;12313603600;25;-0,07;1
12951;setSampleObject;true;12950;0;1;12272387900;21;-0,07;1
12919;setSampleObject;true;12919;0;1;12236668300;17;-0,07;1
12889;setSampleObject;true;12889;0;1;12206284000;17;-0,07;1
12888;setSampleObject;true;12888;0;0;12193468400;13;-0,07;1
12922;setSampleObject;true;12922;0;0;12218207900;13;-0,07;1
13342;setSampleObject;true;13341;0;1;12641265000;9;-0,69;1
13310;setSampleObject;true;13309;0;1;12607635500;4;-0,69;1
13266;setSampleObject;true;13266;0;0;12569431500;4;-0,88;1
13232;setSampleObject;true;13232;0;1;12530800600;4;-0,88;1
13204;setSampleObject;true;13204;0;0;12506574900;0;-0,88;1
13199;setSampleObject;true;13198;0;1;12502146800;0;-0,88;1
13215;setSampleObject;true;13214;0;0;12516273900;0;-0,88;1
13189;setSampleObject;true;13189;0;1;12489123100;0;-0,88;1
13216;setSampleObject;true;13216;0;0;12517001900;0;-0,88;1
13278;setSampleObject;true;13277;0;1;12572040800;0;-0,88;1
13762;setSampleObject;true;13762;0;0;13030416300;0;-0,71;1
13760;setSampleObject;true;13760;0;0;13028375600;0;-0,71;1
