elapsed;label;success;Latency;IdleTime;Connect;time;mem;cpu
949;setSampleObject;true;949;0;0;118484000;0;0
1400;setSampleObject;true;1400;0;0;130358900;5;0
1408;setSampleObject;true;1408;0;0;140509100;5;0
1422;setSampleObject;true;1422;0;0;159675400;5;2,8
1449;setSampleObject;true;1449;0;0;170016700;5;2,8
1466;setSampleObject;true;1466;0;0;175005700;5;2,8
1682;setSampleObject;true;1682;0;0;185885200;5;2,8
1747;setSampleObject;true;1747;0;0;193624000;5;2,8
2190;setSampleObject;true;2190;0;0;179330400;0;0
2157;setSampleObject;true;2157;0;0;162736900;0;0
2226;setSampleObject;true;2226;0;0;176775400;0;-1,38
2927;setSampleObject;true;2927;0;0;177231500;0;0
3660;setSampleObject;true;3660;0;0;175301400;0;0
3293;setSampleObject;true;3293;0;0;175276300;0;-0,35
3740;setSampleObject;true;3740;0;0;186214800;0;0
3365;setSampleObject;true;3365;0;0;178655900;0;0
3326;setSampleObject;true;3326;0;0;180861300;0;0
3334;setSampleObject;true;3334;0;0;176471200;0;0
4393;setSampleObject;true;4393;0;0;180433700;0;0
4026;setSampleObject;true;4026;0;0;187799400;0;0
4430;setSampleObject;true;4430;0;0;184405400;0;1,4
4064;setSampleObject;true;4064;0;0;183199100;0;1,4
4432;setSampleObject;true;4432;0;0;181098400;0;1,4
4066;setSampleObject;true;4066;0;0;181550200;0;1,4
4513;setSampleObject;true;4513;0;0;180203900;0;0
4147;setSampleObject;true;4147;0;0;179029400;0;0
4476;setSampleObject;true;4476;0;0;179703600;0;0,67
4118;setSampleObject;true;4118;0;0;177326700;0;0
4518;setSampleObject;true;4518;0;0;178475300;0;0
4155;setSampleObject;true;4155;0;0;174664400;0;0
4481;setSampleObject;true;4481;0;0;181752200;0;0
4110;setSampleObject;true;4110;0;0;184456000;0;0
4474;setSampleObject;true;4474;0;0;186834700;0;-0,27
4102;setSampleObject;true;4102;0;0;193566700;0;0
5180;setSampleObject;true;5180;0;0;174025900;0;0
4809;setSampleObject;true;4809;0;0;177723100;0;0
4443;setSampleObject;true;4443;0;0;181243100;0;0
5179;setSampleObject;true;5179;0;0;189617500;0;1,05
4804;setSampleObject;true;4804;0;0;185850100;0;1,05
4431;setSampleObject;true;4431;0;0;180754900;0;1,05
5861;setSampleObject;true;5861;0;0;217219800;0;-1,47
5489;setSampleObject;true;5489;0;0;209186300;0;-1,47
5117;setSampleObject;true;5117;0;0;229020200;0;-1,47
6596;setSampleObject;true;6596;0;0;185030200;4;0
4729;setSampleObject;true;4729;0;0;168177500;0;0
4308;setSampleObject;true;4308;0;0;170851900;0;0
6896;setSampleObject;true;6896;0;0;175788600;0;0
5066;setSampleObject;true;5066;0;0;175217300;0;1,19
4671;setSampleObject;true;4671;0;0;169028200;0;0
6594;setSampleObject;true;6594;0;0;171381900;0;0
5125;setSampleObject;true;5125;0;0;173692100;0;0
4748;setSampleObject;true;4748;0;0;173052000;0;0
6575;setSampleObject;true;6575;0;0;173804100;0;0
4690;setSampleObject;true;4690;0;0;181801700;0;1,17
4263;setSampleObject;true;4263;0;0;188267800;0;1,17
6905;setSampleObject;true;6905;0;0;189995200;0;1,17
5025;setSampleObject;true;5025;0;0;189298500;0;0
4572;setSampleObject;true;4572;0;0;195099100;0;0
8282;setSampleObject;true;8282;0;0;187095000;0;0
5976;setSampleObject;true;5976;0;0;170084300;4;0
5630;setSampleObject;true;5630;0;0;182489700;0;0,74
8262;setSampleObject;true;8262;0;0;164028400;0;0
5976;setSampleObject;true;5976;0;0;167583400;0;0
5629;setSampleObject;true;5629;0;0;184334500;0;0
9004;setSampleObject;true;9004;0;0;175221500;0;0
6710;setSampleObject;true;6710;0;0;167059700;0;-1,07
6364;setSampleObject;true;6364;0;0;170244500;0;0
5794;setSampleObject;true;5794;0;0;171913300;0;0,74
5422;setSampleObject;true;5422;0;0;168062600;4;0
5745;setSampleObject;true;5745;0;0;187226200;0;-1,11
5429;setSampleObject;true;5429;0;0;192168700;0;-1,11
7646;setSampleObject;true;7646;0;0;205775800;0;0
5500;setSampleObject;true;5500;0;0;186583600;0;0
5158;setSampleObject;true;5158;0;0;182261600;0;0
5823;setSampleObject;true;5823;0;0;185297200;0;0
5483;setSampleObject;true;5483;0;0;176058400;0;0
7588;setSampleObject;true;7588;0;0;178106200;0;0,48
5792;setSampleObject;true;5792;0;0;214114100;0;0
5448;setSampleObject;true;5448;0;0;211249000;0;0
7625;setSampleObject;true;7625;0;0;187942200;0;2,31
7282;setSampleObject;true;7282;0;0;182343000;0;0
7639;setSampleObject;true;7639;0;0;175753400;0;0
7293;setSampleObject;true;7293;0;0;178200500;0;0
7613;setSampleObject;true;7612;0;0;177144000;0;-1,12
7272;setSampleObject;true;7272;0;0;186343800;0;-1,12
6965;setSampleObject;true;6965;0;0;182467800;0;0
6607;setSampleObject;true;6607;0;0;175041200;0;0
8321;setSampleObject;true;8321;0;0;184124900;0;0
6072;setSampleObject;true;6072;0;0;170999500;0;0
5728;setSampleObject;true;5728;0;0;180539400;0;1,56
9353;setSampleObject;true;9353;0;0;168176100;0;1,56
8653;setSampleObject;true;8653;0;0;162797200;0;1,56
6463;setSampleObject;true;6463;0;0;187904000;0;0
6103;setSampleObject;true;6103;0;0;174930200;0;0
9271;setSampleObject;true;9271;0;0;184912500;0;0
8925;setSampleObject;true;8925;0;0;169855200;0;0
6378;setSampleObject;true;6378;0;0;165202300;0;0
6032;setSampleObject;true;6032;0;0;167620300;4;0
9077;setSampleObject;true;9077;0;0;164251400;4;0
8729;setSampleObject;true;8729;0;0;171344600;0;-1,22
6519;setSampleObject;true;6519;0;0;168971200;0;-1,22
6173;setSampleObject;true;6173;0;0;180202600;0;0
8821;setSampleObject;true;8821;0;0;171409200;0;0
6979;setSampleObject;true;6979;0;0;171652200;0;0
6281;setSampleObject;true;6281;0;0;171347200;0;1,5
11368;setSampleObject;true;11368;0;0;169811500;0;1,5
10978;setSampleObject;true;10978;0;0;170114600;0;1,5
8040;setSampleObject;true;8040;0;0;141573200;0;0
7665;setSampleObject;true;7665;0;0;144368400;0;0
7310;setSampleObject;true;7310;0;0;173002900;0;0
6955;setSampleObject;true;6955;0;0;160759100;0;0,4
11362;setSampleObject;true;11362;0;0;167170700;0;-1,48
10978;setSampleObject;true;10978;0;0;154684700;0;-1,48
8013;setSampleObject;true;8013;0;0;175769800;0;0
7647;setSampleObject;true;7647;0;0;175328800;0;0
7295;setSampleObject;true;7295;0;0;180822200;0;0
6940;setSampleObject;true;6940;0;0;181456400;0;1,15
11342;setSampleObject;true;11342;0;0;188354000;0;1,15
10993;setSampleObject;true;10993;0;0;181675100;0;1,15
7322;setSampleObject;true;7322;0;0;190250400;0;0
6972;setSampleObject;true;6972;0;0;172500800;0;0
8710;setSampleObject;true;8710;0;0;170930600;0;0
8351;setSampleObject;true;8351;0;0;171148400;0;0
6600;setSampleObject;true;6600;0;0;184552200;0;0
6290;setSampleObject;true;6290;0;0;183408700;0;0
9425;setSampleObject;true;9425;0;0;188346500;0;-1,99
9051;setSampleObject;true;9051;0;0;191254600;0;-1,99
6937;setSampleObject;true;6937;0;0;173158200;0;0
6641;setSampleObject;true;6641;0;0;166950700;0;0
9630;setSampleObject;true;9630;0;0;171063700;0;0
7062;setSampleObject;true;7062;0;0;175321600;0;0,81
6725;setSampleObject;true;6725;0;0;175730700;0;0,81
9319;setSampleObject;true;9319;0;0;176513800;0;0,81
6742;setSampleObject;true;6742;0;0;174902100;0;0
6397;setSampleObject;true;6397;0;0;174049800;0;0
9905;setSampleObject;true;9905;0;0;174084200;0;0
9534;setSampleObject;true;9534;0;0;172451100;0;0
7126;setSampleObject;true;7126;0;0;172788600;0;0
6795;setSampleObject;true;6795;0;0;173655200;0;0
13210;setSampleObject;true;13210;0;0;169670200;4;0
12868;setSampleObject;true;12868;0;0;176566900;4;0
12524;setSampleObject;true;12524;0;0;220738800;0;0
9359;setSampleObject;true;9359;0;0;212168500;0;0
9014;setSampleObject;true;9014;0;0;204136100;0;-4,04
14449;setSampleObject;true;14449;0;0;192784100;0;-4,04
14104;setSampleObject;true;14104;0;0;190000200;0;-4,04
13762;setSampleObject;true;13762;0;0;174269900;0;0
10615;setSampleObject;true;10615;0;0;174225000;0;-4,04
10271;setSampleObject;true;10271;0;0;180688700;0;0
13606;setSampleObject;true;13606;0;0;168653300;0;0
11798;setSampleObject;true;11798;0;0;150752000;0;0
10044;setSampleObject;true;10044;0;0;191014400;0;0
