elapsed;label;success;Latency;IdleTime;Connect;time;mem;cpu
1385;setSampleObject;true;1382;0;1;877324900;21;4,24
1259;setSampleObject;true;1258;0;0;1007629600;21;4,24
1242;setSampleObject;true;1242;0;0;1025572000;25;4,24
1399;setSampleObject;true;1398;0;1;1047785400;17;4,24
1634;setSampleObject;true;1634;0;0;1206328000;17;4,24
1609;setSampleObject;true;1609;0;0;1228343500;17;4,24
1510;setSampleObject;true;1509;0;1;1246395300;17;5,69
1480;setSampleObject;true;1479;0;0;794056800;17;5,69
1964;setSampleObject;true;1963;0;1;1428679600;21;5,69
1533;setSampleObject;true;1533;0;0;840395800;8;5,69
870;setSampleObject;true;869;0;0;577900700;4;1,45
1546;setSampleObject;true;1545;0;1;945258900;8;5,69
1690;setSampleObject;true;1690;0;1;1028959700;8;5,69
1564;setSampleObject;true;1563;0;1;1046703100;8;5,69
1576;setSampleObject;true;1576;0;0;1088345200;8;5,69
1584;setSampleObject;true;1583;0;0;1111998000;8;5,69
1617;setSampleObject;true;1616;0;1;1218654200;8;2,74
1598;setSampleObject;true;1598;0;0;1129189100;8;2,74
1526;setSampleObject;true;1525;0;0;1164010600;8;2,74
1646;setSampleObject;true;1646;0;0;1230783100;8;2,74
1615;setSampleObject;true;1614;0;0;1289421500;8;2,74
1603;setSampleObject;true;1603;0;0;1310620900;8;-1,5
1590;setSampleObject;true;1589;0;0;1323251800;8;-1,5
1640;setSampleObject;true;1640;0;0;1390485000;8;-1,5
1582;setSampleObject;true;1582;0;1;1324195400;4;-1,5
1576;setSampleObject;true;1576;0;0;1351172500;4;-0,84
1546;setSampleObject;true;1546;0;0;1331691900;4;-0,84
1574;setSampleObject;true;1573;0;0;1344092900;4;-0,84
2452;setSampleObject;true;2451;0;0;1898940900;12;3,4
1724;setSampleObject;true;1724;0;0;1416568100;8;-0,84
1624;setSampleObject;true;1624;0;0;1385495800;8;-0,84
1763;setSampleObject;true;1762;0;0;1535472300;8;-0,84
1726;setSampleObject;true;1725;0;0;1476133700;8;-0,84
