elapsed;label;success;Latency;IdleTime;Connect;time;mem;cpu
6500;sqrt;true;6500;0;0;1907463701;197;-1,69
6535;sqrt;true;6535;0;0;1923167000;197;-1,69
6579;sqrt;true;6579;0;0;1938700901;193;-1,69
6750;sqrt;true;6750;0;0;1951779501;218;-1,69
6957;sqrt;true;6957;0;0;2002281000;222;6,64
6972;sqrt;true;6972;0;0;1999506400;222;6,64
6999;sqrt;true;6999;0;0;2002942899;226;7,82
7112;sqrt;true;7112;0;0;2034451200;227;7,82
7144;sqrt;true;7144;0;0;2059182400;231;7,82
7239;sqrt;true;7239;0;0;2085550800;231;7,82
7279;sqrt;true;7279;0;0;2118502600;235;7,82
7408;sqrt;true;7408;0;0;2176766100;234;2,45
7522;sqrt;true;7522;0;0;2199061900;235;2,45
7640;sqrt;true;7640;0;0;2273042400;231;0,49
7766;sqrt;true;7766;0;0;2302844300;227;-1,58
8025;sqrt;true;8025;0;0;2409487299;219;-1,58
8135;sqrt;true;8135;0;0;2463143000;214;-1,26
8331;sqrt;true;8331;0;0;2556534500;206;-0,76
8327;sqrt;true;8327;0;0;2580888600;206;-0,76
8768;sqrt;true;8768;0;0;2986265300;177;-1,47
9104;sqrt;true;9104;0;0;3270583200;156;-1,75
9343;sqrt;true;9343;0;0;3452004601;143;-1,75
9700;sqrt;true;9700;0;0;3787769000;118;-1,15
9933;sqrt;true;9933;0;0;4015084200;101;-0,6
10282;sqrt;true;10282;0;0;4407561699;76;0,06
10539;sqrt;true;10539;0;0;4689191200;55;0,93
11014;sqrt;true;11014;0;0;5075255000;46;-6,78
11396;sqrt;true;11396;0;0;5318451400;25;-0,34
11451;sqrt;true;11451;0;0;5331228800;25;-0,34
11602;sqrt;true;11602;0;0;5499148299;25;1,73
11843;sqrt;true;11843;0;0;5601875099;25;-0,47
12024;sqrt;true;12024;0;0;5682623500;25;0,09
12144;sqrt;true;12144;0;0;5769819501;25;0,28
12219;sqrt;true;12219;0;0;5786877600;25;-0,22
12306;sqrt;true;12306;0;0;5800622000;25;-1,73
12375;sqrt;true;12375;0;0;5821468801;25;0,6
12442;sqrt;true;12442;0;0;5835639001;25;3,58
12522;sqrt;true;12522;0;0;5833513600;25;2,81
12648;sqrt;true;12648;0;0;5883167100;25;0,59
11715;sqrt;true;11715;0;0;4879225200;25;0,55
12783;sqrt;true;12783;0;0;5917659900;25;0,55
12783;sqrt;true;12783;0;0;5899022600;25;1,67
11525;sqrt;true;11525;0;0;4646721700;25;1,67
12805;sqrt;true;12805;0;0;5905599400;25;1,67
12781;sqrt;true;12781;0;0;5880949699;25;-0,77
12787;sqrt;true;12787;0;0;5883133200;25;-0,77
12784;sqrt;true;12784;0;0;5841194099;25;0,61
12806;sqrt;true;12806;0;0;5854899700;25;0,61
12624;sqrt;true;12623;0;0;5930686199;8;-2,95
12647;sqrt;true;12647;0;0;6000891200;8;-13,64
12659;sqrt;true;12659;0;0;6077522399;8;-11,33
12649;sqrt;true;12649;0;0;6090342900;8;-1,69
12689;sqrt;true;12689;0;0;6120770400;8;-1,69
12651;sqrt;true;12651;0;0;6103729900;8;-2,1
12633;sqrt;true;12633;0;0;6102979600;8;0,1
12729;sqrt;true;12729;0;0;6289382699;8;0,13
12720;sqrt;true;12720;0;0;6328716701;8;-0,75
12705;sqrt;true;12705;0;0;6312363701;8;-0,75
12718;sqrt;true;12718;0;0;6322839100;8;-0,75
12734;sqrt;true;12734;0;0;6333292300;8;-0,75
12726;sqrt;true;12726;0;0;6381407299;8;-1,37
12717;sqrt;true;12717;0;0;6425986500;8;-1,37
12690;sqrt;true;12690;0;0;6431008500;8;-1,37
12703;sqrt;true;12703;0;0;6446956101;8;-1,37
11605;sqrt;true;11605;0;0;5432527200;8;-0,2
12644;sqrt;true;12644;0;0;6520247000;8;-0,2
12706;sqrt;true;12706;0;0;6571448100;8;-0,2
12690;sqrt;true;12690;0;0;6596479699;8;-3,19
12708;sqrt;true;12708;0;0;6628555101;8;-1,87
12712;sqrt;true;12712;0;0;6688677400;8;-1,87
12704;sqrt;true;12703;0;0;6721422000;8;0,35
12702;sqrt;true;12702;0;0;6741252200;8;0,35
12800;sqrt;true;12800;0;0;6825459601;8;-1,04
12773;sqrt;true;12773;0;0;6806929100;8;-1,04
12813;sqrt;true;12813;0;0;6843976899;8;-0,68
11789;sqrt;true;11789;0;0;5816795799;8;-0,68
12840;sqrt;true;12840;0;0;6883822599;8;-0,92
12832;sqrt;true;12832;0;0;6873447600;8;-0,92
12854;sqrt;true;12854;0;0;6888169500;8;-0,92
11619;sqrt;true;11619;0;0;5659954400;8;-0,9
12867;sqrt;true;12867;0;0;6904909501;8;0,68
13048;sqrt;true;13048;0;0;6933567100;8;2,85
13101;sqrt;true;13101;0;0;6935146200;8;2,85
13206;sqrt;true;13206;0;0;6932474000;8;-2,94
