elapsed;label;success;Latency;IdleTime;Connect;time;mem;cpu
400;sqrt;true;400;0;0;143369700;0;-3,34
400;sqrt;true;400;0;0;148526600;0;-3,34
400;sqrt;true;400;0;0;154803500;0;-3,34
400;sqrt;true;400;0;0;161087500;4;-3,34
401;sqrt;true;401;0;0;172872800;4;-3,34
401;sqrt;true;401;0;0;185617500;4;-3,34
402;sqrt;true;402;0;0;195854800;4;-3,34
406;sqrt;true;406;0;0;210273200;4;-3,34
495;sqrt;true;495;0;0;315209300;0;0
532;sqrt;true;532;0;0;331836500;0;0
485;sqrt;true;485;0;0;300799600;0;0
1272;sqrt;true;1272;0;0;182634100;0;0
1253;sqrt;true;1253;0;0;180997500;0;0
1210;sqrt;true;1210;0;0;182926700;0;0
1197;sqrt;true;1197;0;0;199502400;0;0
1158;sqrt;true;1158;0;0;190302000;0;0
1112;sqrt;true;1112;0;0;180725700;0;-1,38
1098;sqrt;true;1098;0;0;182565200;0;-1,38
1120;sqrt;true;1120;0;0;185484200;0;-1,38
1114;sqrt;true;1114;0;0;179751300;0;-1,38
1116;sqrt;true;1116;0;0;182913600;0;-1,38
1103;sqrt;true;1103;0;0;187250200;0;0
1057;sqrt;true;1057;0;0;182788800;0;0
1111;sqrt;true;1111;0;0;189819800;0;0
1460;sqrt;true;1460;0;0;188881000;0;0
1844;sqrt;true;1843;0;0;184646900;0;1,4
1887;sqrt;true;1887;0;0;176871400;0;1,4
1449;sqrt;true;1449;0;0;185368000;0;0
1844;sqrt;true;1844;0;0;188777100;0;0
1844;sqrt;true;1844;0;0;182113600;0;0
2207;sqrt;true;2207;0;0;176405100;0;0
2220;sqrt;true;2220;0;0;180933100;0;0
1870;sqrt;true;1870;0;0;185457400;0;0
2227;sqrt;true;2227;0;0;177690100;0;0
1892;sqrt;true;1892;0;0;181538400;0;0
1847;sqrt;true;1847;0;0;178185700;0;-0,31
2222;sqrt;true;2222;0;0;176818700;0;0
2237;sqrt;true;2237;0;0;177252000;0;0
1855;sqrt;true;1855;0;0;179100700;0;0
2243;sqrt;true;2243;0;0;180593400;0;0
2203;sqrt;true;2203;0;0;181788200;0;0,51
2220;sqrt;true;2220;0;0;186811900;0;0,51
2217;sqrt;true;2217;0;0;183801600;0;0,51
2548;sqrt;true;2548;0;0;173846200;0;0
2577;sqrt;true;2577;0;0;170926000;0;1,93
2573;sqrt;true;2573;0;0;186345700;0;0
2573;sqrt;true;2573;0;0;181481000;0;0
2585;sqrt;true;2585;0;0;176553700;0;0
2912;sqrt;true;2912;0;0;176681200;0;-3,06
2938;sqrt;true;2938;0;0;179749400;0;-3,06
2951;sqrt;true;2951;0;0;181853600;0;0
2578;sqrt;true;2578;0;0;188545300;0;-0,27
2541;sqrt;true;2541;0;0;180376800;0;-0,27
2603;sqrt;true;2603;0;0;191683000;0;0
2582;sqrt;true;2582;0;0;190363100;0;0
