elapsed;label;success;Latency;IdleTime;Connect;time;mem;cpu
459;sqrt;true;459;0;0;210572300;0;0
463;sqrt;true;463;0;0;215814400;0;0
488;sqrt;true;488;0;0;239867900;0;0
501;sqrt;true;501;0;0;247240800;0;0
518;sqrt;true;518;0;0;253113600;0;0
534;sqrt;true;534;0;0;273033000;0;0
548;sqrt;true;548;0;0;282419800;0;0
487;sqrt;true;487;0;0;249422500;17;0,45
484;sqrt;true;484;0;0;232766300;0;2,35
517;sqrt;true;517;0;0;242456600;4;-1,3
523;sqrt;true;523;0;0;251711800;4;-1,3
541;sqrt;true;541;0;0;267250700;4;-1,3
543;sqrt;true;543;0;0;270945300;4;-1,3
540;sqrt;true;540;0;0;275275600;4;-1,3
475;sqrt;true;475;0;0;245880400;0;0
509;sqrt;true;509;0;0;243802300;0;0
525;sqrt;true;525;0;0;271220100;0;0
581;sqrt;true;581;0;0;274836700;0;0
527;sqrt;true;527;0;0;263706000;0;0
508;sqrt;true;508;0;0;255771200;0;0
524;sqrt;true;524;0;0;267355200;0;0
525;sqrt;true;525;0;0;258263200;0;0,16
499;sqrt;true;499;0;0;251651700;4;1,25
533;sqrt;true;533;0;0;266629600;0;0
526;sqrt;true;526;0;0;250784200;0;4,43
540;sqrt;true;540;0;0;262437800;0;4,43
546;sqrt;true;546;0;0;269061300;0;4,43
555;sqrt;true;555;0;0;268675500;0;4,43
566;sqrt;true;566;0;0;275136800;0;4,43
533;sqrt;true;532;0;0;278971600;0;0
495;sqrt;true;495;0;0;245383000;0;-2,33
503;sqrt;true;503;0;0;263184500;0;0
487;sqrt;true;487;0;0;243351600;0;0
501;sqrt;true;501;0;0;257326400;0;0
504;sqrt;true;504;0;0;251347300;0;0
503;sqrt;true;503;0;0;249859800;0;0
513;sqrt;true;513;0;0;247718300;0;0,53
495;sqrt;true;495;0;0;245767000;0;0
519;sqrt;true;519;0;0;243514200;0;0
498;sqrt;true;498;0;0;229193900;0;0
520;sqrt;true;520;0;0;236360500;0;4,68
520;sqrt;true;520;0;0;240340600;0;4,68
526;sqrt;true;526;0;0;252136400;0;4,68
487;sqrt;true;487;0;0;235847600;0;0
505;sqrt;true;505;0;0;249198900;0;-4
508;sqrt;true;508;0;0;254706100;0;-4
521;sqrt;true;521;0;0;258393300;0;-4
509;sqrt;true;509;0;0;255539400;0;-4
504;sqrt;true;504;0;0;255533600;0;-4
497;sqrt;true;497;0;0;255079000;0;0
488;sqrt;true;488;0;0;247079300;0;-1,9
493;sqrt;true;493;0;0;250632200;4;0
505;sqrt;true;505;0;0;234419800;4;0
491;sqrt;true;491;0;0;241312700;4;0
498;sqrt;true;498;0;0;239713700;0;0
512;sqrt;true;512;0;0;242059400;0;0
499;sqrt;true;499;0;0;253916200;0;0
497;sqrt;true;497;0;0;243750500;0;0
499;sqrt;true;499;0;0;254633900;0;0
493;sqrt;true;493;0;0;243377500;0;5,82
507;sqrt;true;507;0;0;248610300;0;5,82
506;sqrt;true;506;0;0;249417700;0;5,82
504;sqrt;true;504;0;0;241920000;0;5,82
524;sqrt;true;524;0;0;254962600;0;-3,64
526;sqrt;true;526;0;0;260791400;0;0,71
536;sqrt;true;536;0;0;262397500;0;0,71
540;sqrt;true;540;0;0;268351200;0;0
515;sqrt;true;515;0;0;264517400;0;0
524;sqrt;true;524;0;0;269756400;0;0
530;sqrt;true;530;0;0;253276100;4;-0,92
524;sqrt;true;524;0;0;260681500;0;0
497;sqrt;true;497;0;0;259729000;0;0
498;sqrt;true;498;0;0;257555200;0;-6,62
481;sqrt;true;481;0;0;238081000;0;-6,62
493;sqrt;true;493;0;0;237935000;0;-6,62
495;sqrt;true;495;0;0;237385800;0;-6,62
489;sqrt;true;489;0;0;226053400;0;0
495;sqrt;true;495;0;0;227237800;0;0,54
495;sqrt;true;495;0;0;240805100;0;0,54
497;sqrt;true;497;0;0;251749100;0;0
517;sqrt;true;517;0;0;254273200;0;0
501;sqrt;true;501;0;0;252833600;0;0
504;sqrt;true;504;0;0;251093000;0;0
509;sqrt;true;509;0;0;257549000;0;0
468;sqrt;true;468;0;0;238985800;0;0
470;sqrt;true;470;0;0;236407100;0;0
456;sqrt;true;456;0;0;224448800;0;0
472;sqrt;true;472;0;0;225169400;0;-0,82
458;sqrt;true;458;0;0;227075400;0;-0,82
459;sqrt;true;459;0;0;230662400;0;0
471;sqrt;true;471;0;0;238751900;0;0
468;sqrt;true;468;0;0;236515200;0;0
454;sqrt;true;454;0;0;221590300;0;0
468;sqrt;true;468;0;0;225416300;0;-1,64
469;sqrt;true;469;0;0;233981700;0;-1,64
469;sqrt;true;469;0;0;242640600;0;0
466;sqrt;true;466;0;0;235084600;0;0
461;sqrt;true;461;0;0;225165100;0;-1,07
461;sqrt;true;461;0;0;226436900;0;0,44
463;sqrt;true;463;0;0;227617100;0;0,44
467;sqrt;true;467;0;0;238452300;0;0
473;sqrt;true;473;0;0;235672800;0;0
471;sqrt;true;471;0;0;236138300;0;0
486;sqrt;true;486;0;0;222703300;0;1,16
455;sqrt;true;455;0;0;229462500;0;1,16
466;sqrt;true;466;0;0;226467200;0;-0,7
