elapsed;label;success;Latency;IdleTime;Connect;time;mem;cpu;group
3274;updateSampleObject;true;3269;0;0;1764953400;76;-3,01;1
3529;updateSampleObject;true;3524;0;1;1802558100;63;-3,01;1
3326;updateSampleObject;true;3320;0;0;1812497600;63;-3,01;1
3398;updateSampleObject;true;3397;0;1;1841574800;63;-3,24;1
2460;updateSampleObject;true;2459;0;1;1121486400;63;-3,24;1
3645;updateSampleObject;true;3644;0;1;1874431500;63;-3,24;1
3305;updateSampleObject;true;3305;0;1;1879393100;63;-3,24;1
3526;updateSampleObject;true;3525;0;2;1903305600;67;-3,24;1
3749;updateSampleObject;true;3748;0;2;1910520400;67;-3,24;1
3312;updateSampleObject;true;3311;0;1;1922034700;67;-3,24;1
4884;updateSampleObject;true;4884;0;1;3120775200;130;-2,7;1
4859;updateSampleObject;true;4858;0;1;3069628800;130;-2,7;1
4818;updateSampleObject;true;4817;0;0;3012056400;135;-2,7;1
4788;updateSampleObject;true;4787;0;1;2988895100;135;-2,7;1
4823;updateSampleObject;true;4822;0;1;2974371300;135;-2,7;1
4792;updateSampleObject;true;4791;0;3;2921869000;139;-2,7;1
4789;updateSampleObject;true;4788;0;1;2889017900;134;-2,7;1
4799;updateSampleObject;true;4798;0;1;2864592400;138;-2,7;1
4818;updateSampleObject;true;4817;0;1;2832903300;142;-2,7;1
4813;updateSampleObject;true;4811;0;1;2801493400;142;-2,7;1
7036;updateSampleObject;true;7036;0;1;4372267700;243;-3,11;1
7053;updateSampleObject;true;7052;0;2;4350511100;243;-3,11;1
7031;updateSampleObject;true;7030;0;1;4316644100;243;-3,11;1
7014;updateSampleObject;true;7013;0;1;4285235600;243;-2,8;1
6605;updateSampleObject;true;6604;0;1;3891240800;247;-2,8;1
8165;updateSampleObject;true;8165;0;2;5071259200;247;-2,8;1
7030;updateSampleObject;true;7029;0;2;4295773900;247;-2,8;1
7041;updateSampleObject;true;7041;0;1;4316691300;247;-2,8;1
7054;updateSampleObject;true;7053;0;1;4324628100;248;-2,8;1
7060;updateSampleObject;true;7060;0;0;4320512000;252;-4,11;1
9599;updateSampleObject;true;9598;0;0;6537789400;307;-3,51;1
9553;updateSampleObject;true;9553;0;1;6542029200;307;-3,51;1
9879;updateSampleObject;true;9878;0;1;6867349900;302;-3,51;1
9455;updateSampleObject;true;9454;0;0;6448840000;298;-3,51;1
9467;updateSampleObject;true;9466;0;1;6467028800;298;-0,81;1
9471;updateSampleObject;true;9471;0;0;6507375400;294;-0,68;1
9639;updateSampleObject;true;9638;0;1;6682584600;294;-0,68;1
9424;updateSampleObject;true;9423;0;1;6493390700;290;-0,68;1
9522;updateSampleObject;true;9521;0;0;6556342400;290;-0,68;1
9458;updateSampleObject;true;9457;0;0;6563788900;290;-0,68;1
10191;updateSampleObject;true;10190;0;1;9100046200;290;0,44;1
10158;updateSampleObject;true;10157;0;1;9075821400;286;0,44;1
10119;updateSampleObject;true;10119;0;1;9049563000;286;0,44;1
10070;updateSampleObject;true;10070;0;0;9027581900;281;0,44;1
10035;updateSampleObject;true;10035;0;1;9016670200;281;0,44;1
9994;updateSampleObject;true;9994;0;1;9025174800;277;0,44;1
9953;updateSampleObject;true;9953;0;0;8996439100;269;0,66;1
9916;updateSampleObject;true;9916;0;1;8978895700;269;2,34;1
9878;updateSampleObject;true;9877;0;0;8979593400;265;2,34;1
9844;updateSampleObject;true;9843;0;1;8962347900;265;2,34;1
10323;updateSampleObject;true;10323;0;1;9676771800;261;2,37;1
10311;updateSampleObject;true;10310;0;1;9653026100;261;2,37;1
10259;updateSampleObject;true;10259;0;0;9602643700;256;2,37;1
10234;updateSampleObject;true;10234;0;0;9576199100;256;2,37;1
10193;updateSampleObject;true;10193;0;1;9535992600;252;2,37;1
10135;updateSampleObject;true;10134;0;0;9475384400;248;2,36;1
10096;updateSampleObject;true;10096;0;1;9434750500;244;2,36;1
10075;updateSampleObject;true;10074;0;1;9417905500;244;2,36;1
10047;updateSampleObject;true;10046;0;0;9378837900;244;2,36;1
10027;updateSampleObject;true;10026;0;0;9327638500;235;2,36;1
10550;updateSampleObject;true;10549;0;1;9842111500;231;3,72;1
10522;updateSampleObject;true;10522;0;1;9810652700;227;3,72;1
10491;updateSampleObject;true;10491;0;1;9780948700;227;3,72;1
10452;updateSampleObject;true;10451;0;1;9737456900;223;5,01;1
10396;updateSampleObject;true;10395;0;1;9679628400;219;5,01;1
10378;updateSampleObject;true;10378;0;1;9660150700;219;5,01;1
10340;updateSampleObject;true;10340;0;1;9618462400;214;5,01;1
10289;updateSampleObject;true;10288;0;1;9563954200;214;5,01;1
10259;updateSampleObject;true;10259;0;0;9550585900;206;5,01;1
10247;updateSampleObject;true;10246;0;1;9545538200;202;5,01;1
10727;updateSampleObject;true;10726;0;1;10056406400;202;-0,7;1
10696;updateSampleObject;true;10696;0;0;10017694800;198;-0,7;1
10662;updateSampleObject;true;10661;0;2;9986802600;198;-0,7;1
10663;updateSampleObject;true;10663;0;0;9991791100;198;-0,7;1
10671;updateSampleObject;true;10670;0;0;10003072800;198;-0,7;1
10680;updateSampleObject;true;10679;0;0;10015998100;198;-0,7;1
10674;updateSampleObject;true;10674;0;0;10011305500;193;-0,7;1
10666;updateSampleObject;true;10666;0;1;10007768200;193;-0,7;1
10672;updateSampleObject;true;10672;0;0;10003808300;197;-0,7;1
10690;updateSampleObject;true;10690;0;0;10017000200;197;-0,7;1
11267;updateSampleObject;true;11267;0;0;10537172000;193;-1,37;1
11274;updateSampleObject;true;11274;0;0;10548488400;189;-1,37;1
11273;updateSampleObject;true;11273;0;0;10539709800;189;-1,37;1
11273;updateSampleObject;true;11272;0;0;10546152300;185;-1,37;1
11269;updateSampleObject;true;11269;0;0;10538183500;185;-1,37;1
11276;updateSampleObject;true;11276;0;1;10539301500;185;-3,29;1
11245;updateSampleObject;true;11245;0;1;10508165600;181;-3,29;1
11209;updateSampleObject;true;11209;0;1;10468496900;181;-3,29;1
11177;updateSampleObject;true;11177;0;1;10436416100;176;-3,29;1
11192;updateSampleObject;true;11191;0;0;10435843100;168;-3,29;1
11449;updateSampleObject;true;11449;0;0;10858668300;160;-2,23;1
11636;updateSampleObject;true;11636;0;1;10961278300;168;-2,23;1
11600;updateSampleObject;true;11600;0;0;10928125000;168;-2,23;1
11553;updateSampleObject;true;11553;0;1;10882665100;164;-2,23;1
11451;updateSampleObject;true;11451;0;1;10779213500;155;0,07;1
11429;updateSampleObject;true;11429;0;1;10745916700;155;0,07;1
11401;updateSampleObject;true;11401;0;1;10710601400;151;0,07;1
11365;updateSampleObject;true;11365;0;1;10679774600;147;0,07;1
11362;updateSampleObject;true;11361;0;0;10683685500;147;0,07;1
11794;updateSampleObject;true;11794;0;0;10820460500;160;0,07;1
11581;updateSampleObject;true;11581;0;1;11021010500;130;-0,48;1
11756;updateSampleObject;true;11756;0;1;11101563100;143;-1,34;1
11738;updateSampleObject;true;11738;0;1;11087670900;139;-1,34;1
11713;updateSampleObject;true;11713;0;2;11050954100;134;-0,48;1
11663;updateSampleObject;true;11663;0;1;11001722800;130;-0,48;1
11645;updateSampleObject;true;11645;0;0;10980166600;126;-0,48;1
11612;updateSampleObject;true;11612;0;1;10950989300;122;-0,48;1
11551;updateSampleObject;true;11550;0;1;10866692800;118;-0,48;1
11535;updateSampleObject;true;11534;0;1;10866732100;109;-1,15;1
11651;updateSampleObject;true;11651;0;1;10997483500;109;-1,15;1
11937;updateSampleObject;true;11936;0;1;11170464800;105;-0,89;1
11932;updateSampleObject;true;11932;0;1;11158404300;101;-0,89;1
11913;updateSampleObject;true;11913;0;1;11136966900;97;-0,89;1
12249;updateSampleObject;true;12248;0;1;11465191100;97;-0,89;1
11949;updateSampleObject;true;11949;0;1;11168045500;97;-0,89;1
11593;updateSampleObject;true;11593;0;0;10802720000;93;-0,89;1
11968;updateSampleObject;true;11968;0;1;11166541300;93;-0,89;1
11975;updateSampleObject;true;11974;0;1;11152993400;88;-1,04;1
11978;updateSampleObject;true;11978;0;1;11135410700;88;-1,04;1
12161;updateSampleObject;true;12161;0;0;11283089500;84;1,79;1
12440;updateSampleObject;true;12440;0;0;11600810600;84;1,79;1
12481;updateSampleObject;true;12481;0;1;11633049800;84;1,79;1
12489;updateSampleObject;true;12489;0;0;11658100500;80;1,79;1
12524;updateSampleObject;true;12523;0;0;11669762900;80;1,79;1
12542;updateSampleObject;true;12541;0;1;11698179400;80;1,79;1
12501;updateSampleObject;true;12500;0;0;11679610700;76;1,79;1
12536;updateSampleObject;true;12536;0;3;11697353200;76;-0,53;1
12548;updateSampleObject;true;12547;0;0;11734785000;76;-0,53;1
12595;updateSampleObject;true;12593;0;1;11776616400;72;-0,53;1
12732;updateSampleObject;true;12731;0;2;11923789900;72;-0,53;1
13001;updateSampleObject;true;13001;0;1;12189876300;72;-0,91;1
13021;updateSampleObject;true;13020;0;0;12222991700;72;-0,91;1
13016;updateSampleObject;true;13016;0;1;12199843200;67;-0,91;1
13030;updateSampleObject;true;13030;0;0;12240919300;67;-0,91;1
13035;updateSampleObject;true;13034;0;0;12235981600;67;0,39;1
13063;updateSampleObject;true;13062;0;0;12250255600;67;0,39;1
13042;updateSampleObject;true;13041;0;2;12244217600;63;0,39;1
13039;updateSampleObject;true;13038;0;1;12240592800;63;0,39;1
13055;updateSampleObject;true;13054;0;1;12247022400;63;0,39;1
13212;updateSampleObject;true;13211;0;0;12386082500;59;0,69;1
13458;updateSampleObject;true;13457;0;0;12654560100;55;0,69;1
13436;updateSampleObject;true;13436;0;0;12633955800;51;0,69;1
13416;updateSampleObject;true;13416;0;0;12618379000;51;0,69;1
13396;updateSampleObject;true;13396;0;1;12600481800;46;0,69;1
13382;updateSampleObject;true;13382;0;1;12578470900;42;1,19;1
13396;updateSampleObject;true;13395;0;0;12562504800;38;0,45;1
13362;updateSampleObject;true;13361;0;0;12542619100;34;0,45;1
13573;updateSampleObject;true;13573;0;1;12590975400;42;0,45;1
13385;updateSampleObject;true;13384;0;1;12557606700;34;0,45;1
13477;updateSampleObject;true;13476;0;1;12713457900;30;0,45;1
13770;updateSampleObject;true;13769;0;1;12959803600;25;0,33;1
13700;updateSampleObject;true;13700;0;1;12890188600;21;0,33;1
13693;updateSampleObject;true;13693;0;1;12868194400;17;-1,64;1
13706;updateSampleObject;true;13705;0;0;12846307500;17;-1,64;1
13721;updateSampleObject;true;13720;0;1;12882534200;13;-1,64;1
13695;updateSampleObject;true;13695;0;0;12882281800;13;-1,64;1
13689;updateSampleObject;true;13689;0;0;12864116700;9;-1,64;1
13662;updateSampleObject;true;13661;0;1;12875956700;9;-1,64;1
13596;updateSampleObject;true;13596;0;0;12789851900;4;-1,64;1
13736;updateSampleObject;true;13735;0;0;12880524000;4;-1,58;1
14528;updateSampleObject;true;14527;0;0;13725098000;4;-1,58;1
14016;updateSampleObject;true;14016;0;6;13198563200;4;-0,62;1
14002;updateSampleObject;true;14001;0;1;13195261600;4;-0,62;1
14017;updateSampleObject;true;14016;0;0;13209119400;4;-0,62;1
13998;updateSampleObject;true;13998;0;0;13224677800;4;-0,62;1
13984;updateSampleObject;true;13984;0;0;13199758100;4;0,28;1
13949;updateSampleObject;true;13948;0;2;13189809200;4;12,57;1
13929;updateSampleObject;true;13929;0;1;13162356000;4;12,57;1
14437;updateSampleObject;true;14437;0;1;13645448700;4;12,57;1
14115;updateSampleObject;true;14114;0;0;13340692100;4;12,57;1
14314;updateSampleObject;true;14314;0;1;13579689100;4;1,44;1
14300;updateSampleObject;true;14300;0;0;13587828300;4;1,44;1
13781;updateSampleObject;true;13781;0;0;13055161000;4;1,35;1
14364;updateSampleObject;true;14364;0;1;13616831400;4;1,35;1
14329;updateSampleObject;true;14328;0;1;13601187900;4;1,35;1
14277;updateSampleObject;true;14277;0;1;13603855400;4;1,35;1
14326;updateSampleObject;true;14326;0;1;13565580700;4;1,35;1
14234;updateSampleObject;true;14234;0;1;13527933300;4;1,35;1
14206;updateSampleObject;true;14206;0;0;13536480900;4;1,35;1
14278;updateSampleObject;true;14278;0;1;13664514700;4;1,35;1
14538;updateSampleObject;true;14537;0;0;13862497300;4;-0,13;1
14001;updateSampleObject;true;14000;0;0;13324026000;4;-0,13;1
14595;updateSampleObject;true;14595;0;0;13879402000;4;-0,13;1
14633;updateSampleObject;true;14633;0;0;13932259900;4;-0,13;1
14632;updateSampleObject;true;14632;0;0;13927852400;4;-0,13;1
14597;updateSampleObject;true;14596;0;0;13905309000;4;-0,13;1
14583;updateSampleObject;true;14582;0;0;13883556800;4;-0,13;1
14574;updateSampleObject;true;14574;0;0;13884881700;4;-0,13;1
14602;updateSampleObject;true;14602;0;0;13895210200;4;-0,13;1
14665;updateSampleObject;true;14664;0;0;13959396500;4;-0,13;1
14924;updateSampleObject;true;14924;0;0;14239386800;4;0,03;1
14894;updateSampleObject;true;14893;0;0;14214603400;4;0,03;1
14961;updateSampleObject;true;14960;0;1;14295786000;4;0,03;1
14995;updateSampleObject;true;14994;0;0;14342341500;4;0,03;1
14987;updateSampleObject;true;14987;0;1;14334082500;4;0,03;1
14963;updateSampleObject;true;14962;0;0;14314683600;4;0,03;1
14964;updateSampleObject;true;14964;0;0;14314719100;4;0,03;1
14928;updateSampleObject;true;14927;0;0;14276275400;4;0,03;1
14963;updateSampleObject;true;14963;0;0;14315750600;4;0,03;1
15044;updateSampleObject;true;15043;0;1;14385756700;4;0,03;1
15296;updateSampleObject;true;15296;0;1;14624064500;4;-0,24;1
15264;updateSampleObject;true;15264;0;0;14594195300;4;-0,24;1
15308;updateSampleObject;true;15308;0;1;14631815000;4;-0,24;1
15324;updateSampleObject;true;15324;0;0;14640882500;4;-0,24;1
15292;updateSampleObject;true;15291;0;1;14608974800;4;-0,24;1
15841;updateSampleObject;true;15841;0;0;15152272500;4;-0,24;1
15252;updateSampleObject;true;15252;0;1;14562537900;4;-0,24;1
15222;updateSampleObject;true;15222;0;0;14529258800;4;-0,24;1
15211;updateSampleObject;true;15211;0;1;14516520700;4;-0,24;1
15337;updateSampleObject;true;15334;0;2;14613792500;4;-0,24;1
15626;updateSampleObject;true;15626;0;1;14864859100;4;1,36;1
15582;updateSampleObject;true;15582;0;1;14816182300;4;1,36;1
15602;updateSampleObject;true;15602;0;0;14839720900;4;1,36;1
15615;updateSampleObject;true;15615;0;0;14856977800;4;0,25;1
15583;updateSampleObject;true;15583;0;0;14829561800;4;0,25;1
15546;updateSampleObject;true;15546;0;1;14794501500;4;0,25;1
15509;updateSampleObject;true;15509;0;0;14756117300;4;0,25;1
15370;updateSampleObject;true;15370;0;0;14826315200;4;0,25;1
15476;updateSampleObject;true;15475;0;0;14729978600;4;0,25;1
15641;updateSampleObject;true;15641;0;1;14727013700;4;0,25;1
15801;updateSampleObject;true;15801;0;0;15127814700;4;-2,24;1
15753;updateSampleObject;true;15752;0;1;15083829000;4;-2,24;1
15785;updateSampleObject;true;15784;0;1;15106307800;4;-2,24;1
15803;updateSampleObject;true;15803;0;1;15118469700;4;-2,24;1
15769;updateSampleObject;true;15769;0;0;15085812700;4;-2,24;1
15731;updateSampleObject;true;15731;0;1;15046906700;4;-2,24;1
15693;updateSampleObject;true;15693;0;0;15006323200;4;-2,24;1
