elapsed;label;success;Latency;IdleTime;Connect;time;mem;cpu
2274;updateSampleObject;true;2274;0;1;552625000;0;0
1879;updateSampleObject;true;1879;0;1;552786400;4;0
2402;updateSampleObject;true;2402;0;0;562584300;4;0
2003;updateSampleObject;true;2003;0;1;570246700;4;0
2294;updateSampleObject;true;2294;0;1;579582000;4;0
1896;updateSampleObject;true;1896;0;1;600257500;4;0
2234;updateSampleObject;true;2234;0;1;625048800;17;0
1835;updateSampleObject;true;1835;0;1;644301000;17;0
2306;updateSampleObject;true;2306;0;0;219656700;17;0
1907;updateSampleObject;true;1907;0;0;225593400;17;0
2233;updateSampleObject;true;2233;0;1;234181000;17;0
1831;updateSampleObject;true;1831;0;1;243723900;17;0
2485;updateSampleObject;true;2485;0;0;255567600;17;0
2085;updateSampleObject;true;2085;0;0;276008000;13;0
3032;updateSampleObject;true;3032;0;1;298968700;17;0
2635;updateSampleObject;true;2635;0;1;299489300;17;0
2233;updateSampleObject;true;2233;0;0;300199600;4;0
1993;updateSampleObject;true;1993;0;1;300408300;0;0
2242;updateSampleObject;true;2242;0;1;293385800;0;0
2498;updateSampleObject;true;2498;0;0;299665000;0;0
1027;updateSampleObject;true;1027;0;0;320581100;0;0
2663;updateSampleObject;true;2663;0;1;335026000;0;0
1063;updateSampleObject;true;1063;0;0;341397100;0;-9,91
2595;updateSampleObject;true;2595;0;1;349111500;0;-9,91
1104;updateSampleObject;true;1104;0;0;258058100;0;0
1071;updateSampleObject;true;1071;0;0;258055000;0;0
2574;updateSampleObject;true;2574;0;1;247213700;5;0
1068;updateSampleObject;true;1068;0;0;250099300;5;0
2485;updateSampleObject;true;2485;0;1;248673700;5;-8,46
1054;updateSampleObject;true;1054;0;0;230079700;5;-8,46
3387;updateSampleObject;true;3387;0;0;220721800;5;-8,46
1555;updateSampleObject;true;1555;0;0;237601000;5;-8,46
1555;updateSampleObject;true;1555;0;0;281871300;0;0
2687;updateSampleObject;true;2687;0;0;261004700;0;0
2688;updateSampleObject;true;2688;0;0;245025100;0;0
2130;updateSampleObject;true;2130;0;0;250846100;0;-1,12
3968;updateSampleObject;true;3968;0;0;235927100;0;-1,12
3117;updateSampleObject;true;3117;0;0;239042000;0;-1,12
2095;updateSampleObject;true;2095;0;0;246024100;0;-1,12
2095;updateSampleObject;true;2095;0;0;234549900;0;-1,12
4197;updateSampleObject;true;4197;0;1;260655400;0;0
3143;updateSampleObject;true;3143;0;0;262807700;0;0
2080;updateSampleObject;true;2080;0;0;266990800;0;0
2081;updateSampleObject;true;2081;0;0;262554000;0;2,15
