elapsed;label;success;Latency;IdleTime;Connect;time;mem;cpu
1506;updateSampleObject;true;1501;0;0;931256700;29;0
2021;updateSampleObject;true;2020;0;0;1616592400;33;1,75
2587;updateSampleObject;true;2586;0;1;1928050900;25;1,75
3358;updateSampleObject;true;3357;0;1;2282171300;30;1,2
3152;updateSampleObject;true;3152;0;0;2814374300;30;2,98
3868;updateSampleObject;true;3867;0;0;3116985600;30;2,98
3554;updateSampleObject;true;3553;0;0;2648868300;13;0,29
4774;updateSampleObject;true;4774;0;1;4079755700;34;-0,5
4775;updateSampleObject;true;4774;0;1;3730179200;25;1,08
4999;updateSampleObject;true;4998;0;1;4027098900;21;0,34
5647;updateSampleObject;true;5646;0;1;4053255700;9;-2,29
5452;updateSampleObject;true;5452;0;1;4543666700;13;2,6
5848;updateSampleObject;true;5848;0;1;4988415300;21;2,6
5883;updateSampleObject;true;5883;0;1;5048231800;21;-2,26
6186;updateSampleObject;true;6186;0;1;5295156300;21;-2,26
6538;updateSampleObject;true;6538;0;0;5676424800;21;0,93
4378;updateSampleObject;true;4377;0;1;3302884200;12;0,64
6855;updateSampleObject;true;6854;0;1;6011349100;21;-3,06
7050;updateSampleObject;true;7049;0;1;6234651800;21;-3,06
7386;updateSampleObject;true;7385;0;1;6543696500;21;-4,32
7529;updateSampleObject;true;7529;0;0;6660811300;21;-4,32
7765;updateSampleObject;true;7765;0;1;6910612800;21;-2,27
8015;updateSampleObject;true;8014;0;1;7153074300;21;-2,27
9594;updateSampleObject;true;9594;0;1;7963616400;34;-1,16
7940;updateSampleObject;true;7939;0;0;7680239800;26;-3,79
8788;updateSampleObject;true;8788;0;0;7853231700;26;-2,32
10285;updateSampleObject;true;10285;0;1;8219168900;26;-1,38
9393;updateSampleObject;true;9393;0;0;8468720300;26;-1,38
9487;updateSampleObject;true;9486;0;0;8562073500;26;-2,14
9424;updateSampleObject;true;9424;0;0;8485482900;26;-1,26
9486;updateSampleObject;true;9486;0;0;8521580800;26;-1,26
9498;updateSampleObject;true;9497;0;0;8627272000;26;-1,26
9471;updateSampleObject;true;9470;0;0;8559103900;26;-1,26
9440;updateSampleObject;true;9439;0;0;8595161400;26;-1,26
9518;updateSampleObject;true;9517;0;0;8547109500;26;-1,26
9387;updateSampleObject;true;9387;0;1;8637879000;21;-1,26
9344;updateSampleObject;true;9344;0;1;8561980000;21;-1,26
9453;updateSampleObject;true;9452;0;0;8674156600;21;-1,26
9424;updateSampleObject;true;9424;0;0;8672865600;21;-1,26
